CCC;CCC name;Commodityid;Commodity name
A.1.1.1.1;Rice;117;Rice, Paddy
A.1.1.1.2;Wheat;121;Wheat (and  spelt)
A.1.1.1.3;Cereals n.e.c.;110;Barley
A.1.1.1.3;Cereals n.e.c.;111;Buckwheat
A.1.1.1.3;Cereals n.e.c.;112;Canary Seed
A.1.1.1.3;Cereals n.e.c.;113;Maize (grain maize)
A.1.1.1.3;Cereals n.e.c.;114;Millet
A.1.1.1.3;Cereals n.e.c.;115;Mixed Grain
A.1.1.1.3;Cereals n.e.c.;116;Oats
A.1.1.1.3;Cereals n.e.c.;118;Rye
A.1.1.1.3;Cereals n.e.c.;119;Sorghum
A.1.1.1.3;Cereals n.e.c.;120;Triticale
A.1.1.1.3;Cereals n.e.c.;122;Cereals nec (including Pop Corn, Fonio and Quinoa)
A.1.1.1.3;Cereals n.e.c.;268;Fonio
A.1.1.1.3;Cereals n.e.c.;269;Quinoa
A.1.1.10;Other crops n.e.c;266;Natural Gums
A.1.1.10;Other crops n.e.c;267;Natural Rubber
A.1.1.11;Spice - beverage - pharmaceutical crops;206;Anise, Badian, Fennel
A.1.1.11;Spice - beverage - pharmaceutical crops;207;Chicory Roots
A.1.1.11;Spice - beverage - pharmaceutical crops;208;Coffee, Green
A.1.1.11;Spice - beverage - pharmaceutical crops;209;Hops
A.1.1.11;Spice - beverage - pharmaceutical crops;210;Peppermint
A.1.1.11;Spice - beverage - pharmaceutical crops;212;Pyrethrum, Dried Flowers
A.1.1.11;Spice - beverage - pharmaceutical crops;215;Tea
A.1.1.11;Spice - beverage - pharmaceutical crops;216;Spices nec (including Cinnamon,Ginger,Nutmeg,Mace,Cardamons, Pepper,Vanilla,Cloves)
A.1.1.11;Spice - beverage - pharmaceutical crops;217;Cocoa Beans
A.1.1.11;Spice - beverage - pharmaceutical crops;218;Mate
A.1.1.11;Spice - beverage - pharmaceutical crops;309;Cinnamon (canella)
A.1.1.11;Spice - beverage - pharmaceutical crops;310;Cloves
A.1.1.11;Spice - beverage - pharmaceutical crops;311;Ginger
A.1.1.11;Spice - beverage - pharmaceutical crops;314;Nutmeg, mace and cardamoms
A.1.1.11;Spice - beverage - pharmaceutical crops;315;Vanilla
A.1.1.11;Spice - beverage - pharmaceutical crops;320;Pepper (Piper spp.)
A.1.1.11;Spice - beverage - pharmaceutical crops;336;Tea nes
A.1.1.12;Tobacco;265;Tobacco Leaves
A.1.1.2;Roots and tubers;123;Potatoes
A.1.1.2;Roots and tubers;124;Sweet Potatoes
A.1.1.2;Roots and tubers;125;Yams
A.1.1.2;Roots and tubers;270;Cassava
A.1.1.2;Roots and tubers;271;Roots and Tubers, nes
A.1.1.2;Roots and tubers;272;Taro (cocoyam)
A.1.1.2;Roots and tubers;273;Yautia (cocoyam)
A.1.1.3;Sugar crops;213;Sugar Beets
A.1.1.3;Sugar crops;214;Sugar Cane
A.1.1.3;Sugar crops;219;Sugar Crops nes
A.1.1.4;Pulses;129;Lentils
A.1.1.4;Pulses;130;Lupins
A.1.1.4;Pulses;131;Vetches
A.1.1.4;Pulses;132;Pulses nec
A.1.1.4;Pulses;274;Bambara beans
A.1.1.4;Pulses;275;Beans, dry
A.1.1.4;Pulses;276;Beans, green
A.1.1.4;Pulses;277;Broad beans, horse beans, dry
A.1.1.4;Pulses;278;Chick peas
A.1.1.4;Pulses;279;Cow peas, dry
