BGS-Names (alphabetisch sortieren!);;commodity list;commodity id
Attapulgite;;Bentonite, sepiolite and attapulgite;50
Bentonite;;Bentonite, sepiolite and attapulgite;50
Brine salt;;Brine salt;344
Brine salt & sea salt;;Brine salt;344
Crushed rock;;Crushed stone;68
Evaporated salt;;Evaporated salt;345
Frasch                                            ;;Sulphur;89
Fuller's earth;;Fuller's earth;52
Other salt;;Salt nec;348
Production of antimony, mine;;Antimony;8
Production of arsenic, white;;Arsenic;9
Production of asbestos;;Asbestos;94
Production of barytes;;Barite;72
Production of bauxite;;Bauxite (Aluminium);10
Production of beryl;;Beryllium;11
Production of bismuth, mine;;Bismuth;12
Production of borates;;Borate minerals;73
Production of bromine;;Bromine;337
Production of cadmium;;Cadmium;13
Production of chromium ores and concentrates;;Chromium;15
Production of coal;;Hard coal;1
Production of cobalt, mine;;Cobalt;16
Production of copper, mine;;Copper;17
Production of crude petroleum;;Crude oil;3
Production of diamond;;Diamonds, gems;/
Production of diatomite;;Diatomite;76
Production of feldspar;;Feldspar;77
Production of fluorspar;;Fluorspar;78
Production of gallium, primary;;Gallium;18
Production of germanium metal;;Germanium;19
Production of gold, mine;;Gold;20
Production of graphite;;Graphite, natural;79
Production of gypsum and plaster;;Gypsum and anhydrite;96
Production of indium, refinery;;Indium;21
Production of iodine;;Iodine;339
Production of iron ore;;Iron ores;7
Production of kaolin;;Kaolin;53
Production of lead, mine;;Lead;22
Production of lithium minerals;;Lithium;23
Production of magnesite;;Magnesite;81
Production of magnesium metal, primary;;Magnesium;24
Production of manganese ore;;Manganeese;25
Production of mercury;;Mercury;26
Production of mica;;Mica;82
Production of molybdenum, mine;;Molybdenum;27
Production of natural gas;;Natural gas;4
Production of nepheline syenite;;Nepheline syenite;341
Production of nickel, mine;;Nickel;28
Production of perlite;;Perlite;97
Production of phosphate rock;;Phosphate rock (natural phosphates);85
Production of platinum group metals, mine;;Platinum-group (PGM);30
Production of potash;;Potash;86
Production of rare earth minerals;;Rare Earths Metals;31
Production of rhenium;;Rhenium;342
Production of selenium metal;;Selenium;32
Production of sillimanite minerals;;Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing);51
Production of silver, mine;;Silver;34
Production of sodium carbonate, natural;;Sodium carbonate, natural;343
Production of strontium minerals;;Strontium minerals;88
Production of talc;;Talc (steatite, soapstone, pyrophyllite);92
Production of tantalum and niobium minerals;;Niobium + Tantalum;29
Production of tellurium metal;;Tellurium;36
Production of tin, mine;;Tin;37
Production of titanium minerals;;Titanium (incl/ Ilmenite and Rutile);38
Production of tungsten, mine;;Tungsten;39
Production of uranium;;Uranium;40
Production of vanadium, mine;;Vanadium;41
Production of vermiculite;;Vermiculite;316
Production of wollastonite;;Wollastonite;317
Production of zinc, mine;;Zinc;42
Production of zirconium minerals;;Zirconium and Hafnium;43
Pyrites                                           ;;Sulphur from pyrites;90
Recovered                                         ;;Sulphur as a by-product of natural gas etc.;91
Rock salt;;Rock salt;347
Rock salt & brine salt;;Rock salt;347
Salt in brine;;Brine salt;344
Sand and gravel;;Sand and gravel;108
Sea salt;;Sea salt;346
Sepiolite;;Bentonite, sepiolite and attapulgite;50
Sulphur ore                                       ;;Sulphur;89
