Country,AlphaNumISO,PolicySet,MFandRP_Reg
Aruba,ABW533,0,Latin America + Caribbean
Afghanistan,AFG004,1,Asia + Pacific
Angola,AGO024,1,Africa
Anguilla,AIA660,0,Latin America + Caribbean
Albania,ALB008,1,Europe
Andorra,AND020,0,Europe
Netherlands Antilles,ANT530,0,Latin America + Caribbean
United Arab Emirates,ARE784,1,West Asia
Argentina,ARG032,1,Latin America + Caribbean
Armenia,ARM051,1,EECCA
American Samoa,ASM016,0,Asia + Pacific
Antigua and Barbuda,ATG028,1,Latin America + Caribbean
Australia,AUS036,1,Asia + Pacific
Austria,AUT040,1,Europe
Azerbaijan,AZE031,1,EECCA
Burundi,BDI108,1,Africa
Belgium,BEL056,1,Europe
Benin,BEN204,1,Africa
Burkina Faso,BFA854,1,Africa
Bangladesh,BGD050,1,Asia + Pacific
Bulgaria,BGR100,1,Europe
Bahrain,BHR048,1,West Asia
Bahamas,BHS044,1,Latin America + Caribbean
Bosnia and Herzegovina,BIH070,1,Europe
Belgium-Luxemburg,BLGLUX,0,Europe
Belarus,BLR112,1,EECCA
Belize,BLZ084,1,Latin America + Caribbean
Bermuda,BMU060,0,Latin America + Caribbean
Bolivia,BOL068,1,Latin America + Caribbean
Brazil,BRA076,1,Latin America + Caribbean
Barbados,BRB052,1,Latin America + Caribbean
Brunei Darussalam,BRN096,1,Asia + Pacific
Bhutan,BTN064,1,Asia + Pacific
Botswana,BWA072,1,Africa
Central African Republic,CAF140,1,Africa
Canada,CAN124,1,North America
Cocos (Keeling) Islands,CCK166,0,Asia + Pacific
Switzerland,CHE756,1,Europe
Chile,CHL152,1,Latin America + Caribbean
China,CHN156,1,Asia + Pacific
Cote d'Ivoire,CIV384,1,Africa
Cameroon,CMR120,1,Africa
DR Congo,COD180,1,Africa
Rep Congo,COG178,1,Africa
Cook Islands,COK184,0,Asia + Pacific
Colombia,COL170,1,Latin America + Caribbean
Comoros,COM174,1,Africa
Cape Verde,CPV132,1,Africa
Costa Rica,CRI188,1,Latin America + Caribbean
Czechoslovakia,CSK200,1,Europe
Cuba,CUB192,1,Latin America + Caribbean
Christmas Island,CXR162,0,Asia + Pacific
Cayman Islands,CYM136,0,Latin America + Caribbean
Cyprus,CYP196,1,Europe
Czech Republic,CZE203,1,Europe
East Germany,DDR278,0,Europe
Germany,DEU276,1,Europe
West Germany,DEU280,0,Europe
Djibouti,DJI262,1,Africa
Dominica,DMA212,1,Latin America + Caribbean
Denmark,DNK208,1,Europe
Dominican Republic,DOM214,1,Latin America + Caribbean
Algeria,DZA012,1,Africa
Zanzibar,EAZXXX,0,Africa
Ecuador,ECU218,1,Latin America + Caribbean
Egypt,EGY818,1,Africa
Eritrea,ERI232,1,Africa
Western Sahara,ESH732,0,Africa
Spain,ESP724,1,Europe
Estonia,EST233,1,Europe
Ethiopia (Former),ETH230,1,Africa
Ethiopia,ETH231,1,Africa
Finland,FIN246,1,Europe
Fiji Islands,FJI242,1,Asia + Pacific
Falkland Islands (Malvinas),FLK238,0,Latin America + Caribbean
France,FRA250,1,Europe
Faroe Islands,FRO234,0,Europe
Micronesia,FSM583,1,Asia + Pacific
Gabon,GAB266,1,Africa
United Kingdom,GBR826,1,Europe
Georgia,GEO268,1,EECCA
Ghana,GHA288,1,Africa
Gibraltar,GIB292,0,Europe
Guinea,GIN324,1,Africa
Guadeloupe,GLP312,0,Latin America + Caribbean
Gambia,GMB270,1,Africa
Guinea-Bissau,GNB624,1,Africa
