category;ore_id;associated_ore_name;material_id
associated;AO.Al;Aluminium - associated ore;Me.Al
associated;AO.Sb;Antimony - associated ore;Me.Sb
associated;AO.As;Arsenic - associated ore;Me.As
associated;AO.Be;Beryllium - associated ore;Me.Be
associated;AO.Bi;Bismuth - associated ore;Me.Bi
associated;AO.Cd;Cadmium - associated ore;Me.Cd
associated;AO.Cs;Caesium - associated ore;Me.Cs
associated;AO.Cr;Chromium - associated ore;Me.Cr
associated;AO.Co;Cobalt - associated ore;Me.Co
associated;AO.Cu;Copper - associated ore;Me.Cu
associated;AO.Ga;Gallium - associated ore;Me.Ga
associated;AO.Ge;Germanium - associated ore;Me.Ge
associated;AO.Au;Gold - associated ore;Me.Au
associated;AO.Hf;Hafnium - associated ore;Me.Hf
associated;AO.In;Indium - associated ore;Me.In
associated;AO.Fe;Iron - associated ore;Me.Fe
associated;AO.Pb;Lead - associated ore;Me.Pb
associated;AO.Li;Lithium - associated ore;Me.Li
associated;AO.Mg;Magnesium - associated ore;Me.Mg
associated;AO.Mn;Manganese - associated ore;Me.Mn
associated;AO.Hg;Mercury - associated ore;Me.Hg
associated;AO.Mo;Molybdenum - associated ore;Me.Mo
associated;AO.Ni;Nickel - associated ore;Me.Ni
associated;AO.Nb;Niobium - associated ore;Me.Nb
associated;AO.Ir;Iridium - associated ore;Me.Ir
associated;AO.Os;Osmium - associated ore;Me.Os
associated;AO.Pd;Palladium - associated ore;Me.Pd
associated;AO.Pt;Platinum - associated ore;Me.Pt
associated;AO.Rh;Rhodium - associated ore;Me.Rh
associated;AO.Ru;Ruthenium - associated ore;Me.Ru
associated;AO.rem;REM - associated ore;Me.Ce
associated;AO.rem;REM - associated ore;Me.Dy
associated;AO.rem;REM - associated ore;Me.Er
associated;AO.rem;REM - associated ore;Me.Eu
associated;AO.rem;REM - associated ore;Me.Gd
associated;AO.rem;REM - associated ore;Me.Ho
associated;AO.rem;REM - associated ore;Me.La
associated;AO.rem;REM - associated ore;Me.Lu
associated;AO.rem;REM - associated ore;Me.Nd
associated;AO.rem;REM - associated ore;Me.Pr
associated;AO.rem;REM - associated ore;Me.Pm
associated;AO.rem;REM - associated ore;Me.Sm
associated;AO.rem;REM - associated ore;Me.Sc
associated;AO.rem;REM - associated ore;Me.Tb
associated;AO.rem;REM - associated ore;Me.Tm
associated;AO.rem;REM - associated ore;Me.Yb
associated;AO.rem;REM - associated ore;Me.Y
associated;AO.Re;Rhenium - associated ore;Me.Re
associated;AO.Rb;Rubidium - associated ore;Me.Rb
associated;AO.Se;Selenium - associated ore;Me.Se
associated;AO.Ag;Silver - associated ore;Me.Ag
associated;AO.Sr;Strontium - associated ore;Me.Sr
associated;AO.Ta;Tantalum - associated ore;Me.Ta
associated;AO.Te;Tellurium - associated ore;Me.Te
associated;AO.Tl;Thallium - associated ore;Me.Tl
associated;AO.Th;Thorium - associated ore;Me.Th
associated;AO.Sn;Tin - associated ore;Me.Sn
associated;AO.Ti;Titanium - associated ore;Me.Ti
associated;AO.W;Tungsten - associated ore;Me.W
associated;AO.U;Uranium - associated ore;Me.U
associated;AO.V;Vanadium - associated ore;Me.V
associated;AO.Zn;Zinc - associated ore;Me.Zn
associated;AO.Zr;Zirconium - associated ore;Me.Zr
dominant;DO.Al;Aluminium - dominant ore;Me.Al
dominant;DO.Sb;Antimony - dominant ore;Me.Sb
dominant;DO.As;Arsenic - dominant ore;Me.As
dominant;DO.Be;Beryllium - dominant ore;Me.Be
dominant;DO.Bi;Bismuth - dominant ore;Me.Bi
dominant;DO.Cd;Cadmium - dominant ore;Me.Cd
dominant;DO.Cs;Caesium - dominant ore;Me.Cs
dominant;DO.Cr;Chromium - dominant ore;Me.Cr
dominant;DO.Co;Cobalt - dominant ore;Me.Co
dominant;DO.Cu;Copper - dominant ore;Me.Cu
dominant;DO.Ga;Gallium - dominant ore;Me.Ga
dominant;DO.Ge;Germanium - dominant ore;Me.Ge
dominant;DO.Au;Gold - dominant ore;Me.Au
dominant;DO.Hf;Hafnium - dominant ore;Me.Hf
dominant;DO.In;Indium - dominant ore;Me.In
dominant;DO.Fe;Iron - dominant ore;Me.Fe
dominant;DO.Pb;Lead - dominant ore;Me.Pb
dominant;DO.Li;Lithium - dominant ore;Me.Li
dominant;DO.Mg;Magnesium - dominant ore;Me.Mg
dominant;DO.Mn;Manganese - dominant ore;Me.Mn
dominant;DO.Hg;Mercury - dominant ore;Me.Hg
dominant;DO.Mo;Molybdenum - dominant ore;Me.Mo
dominant;DO.Ni;Nickel - dominant ore;Me.Ni
dominant;DO.Nb;Niobium - dominant ore;Me.Nb
dominant;DO.pgm;PGM - dominant ore;Me.Ir
dominant;DO.pgm;PGM - dominant ore;Me.Os
dominant;DO.pgm;PGM - dominant ore;Me.Pd
dominant;DO.pgm;PGM - dominant ore;Me.Pt
dominant;DO.pgm;PGM - dominant ore;Me.Rh
dominant;DO.pgm;PGM - dominant ore;Me.Ru
dominant;DO.rem;REM - dominant ore;Me.Ce
dominant;DO.rem;REM - dominant ore;Me.Dy
dominant;DO.rem;REM - dominant ore;Me.Er
dominant;DO.rem;REM - dominant ore;Me.Eu
dominant;DO.rem;REM - dominant ore;Me.Gd
dominant;DO.rem;REM - dominant ore;Me.Ho
dominant;DO.rem;REM - dominant ore;Me.La
dominant;DO.rem;REM - dominant ore;Me.Lu
dominant;DO.rem;REM - dominant ore;Me.Nd
dominant;DO.rem;REM - dominant ore;Me.Pr
dominant;DO.rem;REM - dominant ore;Me.Pm
dominant;DO.rem;REM - dominant ore;Me.Sm
dominant;DO.rem;REM - dominant ore;Me.Sc
dominant;DO.rem;REM - dominant ore;Me.Tb
dominant;DO.rem;REM - dominant ore;Me.Tm
dominant;DO.rem;REM - dominant ore;Me.Yb
dominant;DO.rem;REM - dominant ore;Me.Y
dominant;DO.Re;Rhenium - dominant ore;Me.Re
dominant;DO.Rb;Rubidium - dominant ore;Me.Rb
dominant;DO.Se;Selenium - dominant ore;Me.Se
dominant;DO.Ag;Silver - dominant ore;Me.Ag
dominant;DO.Sr;Strontium - dominant ore;Me.Sr
dominant;DO.Ta;Tantalum - dominant ore;Me.Ta
dominant;DO.Te;Tellurium - dominant ore;Me.Te
dominant;DO.Tl;Thallium - dominant ore;Me.Tl
dominant;DO.Th;Thorium - dominant ore;Me.Th
dominant;DO.Sn;Tin - dominant ore;Me.Sn
dominant;DO.Ti;Titanium - dominant ore;Me.Ti
dominant;DO.W;Tungsten - dominant ore;Me.W
dominant;DO.U;Uranium - dominant ore;Me.U
dominant;DO.V;Vanadium - dominant ore;Me.V
dominant;DO.Zn;Zinc - dominant ore;Me.Zn
dominant;DO.Zr;Zirconium - dominant ore;Me.Zr
dominant;DO.P;Phosphor - dominant ore;Nm.P
dominant;DO.S;Sulphur - dominant ore;Nm.S
