MFA4Plus;MFA13Plus;CCC_Code;CCC_Name;material_id;material_name
Metal ores;Ferrous ores;A.2.1.Fe;Iron ores;O.Fe;Ferrous ore
Metal ores;Ferrous ores;A.2.1.Fe;Iron ores;AO.Fe;Iron - associated ore
Metal ores;Non-ferrous ores;A.2.2.Ag;Silver ores;AO.Ag;Silver - associated ore
Metal ores;Non-ferrous ores;A.2.2.Al;Bauxite and other aluminium ores - gross ore;Me.Al;Aluminium
Metal ores;Non-ferrous ores;A.2.2.Al;Bauxite and other aluminium ores - gross ore;O.Al;Bauxite
Metal ores;Non-ferrous ores;A.2.2.Au;Gold ores;AO.Au;Gold - associated ore
Metal ores;Non-ferrous ores;A.2.2.Cr;Chromium ores;Me.Cr;Chromium
Metal ores;Non-ferrous ores;A.2.2.Cr;Chromium ores;AO.Cr;Chromium - associated ore
Metal ores;Non-ferrous ores;A.2.2.Cr;Chromium ores;O.Cr;Chromium ore
Metal ores;Non-ferrous ores;A.2.2.Cu;Copper ores;AO.Cu;Copper - associated ore
Metal ores;Non-ferrous ores;A.2.2.Mn;Manganese ores;AO.Mn;Manganese - associated ore
Metal ores;Non-ferrous ores;A.2.2.Mn;Manganese ores;O.Mn;Manganese ore
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;AO.Sb;Antimony - associated ore
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;Me.As;Arsenic
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;O.Be;Beryl
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;AO.Bi;Bismuth - associated ore
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;Me.Cd;Cadmium
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;AO.Co;Cobalt - associated ore
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;O.NbTa;Coltan
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;O.Nb;Columbite, niobium ore
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;Me.Ga;Gallium
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;Me.Ge;Germanium
Metal ores;Non-ferrous ores;A.2.2.nec;Other metal ores;Me.In;Indium
