in QUELLEN;aus DB zugeordnet;in DB vorhandene Unit-Ids;
(Kilograms);12;kilogramms;12
(Kilograms, contained selenium);12;kilogramms;12
(Metric tons);1;metric tons;1
(Metric tons) ;1;metric tons;1
(Metric tons, antimony content unless otherwise specified);1;metric tons;1
(Metric tons, gross weight);1;metric tons;1
(Metric tons, lead content);1;metric tons;1
(Metric tons, Nb content);1;metric tons;1
(Metric tons, zinc content of concentrate and direct shipping, unless otherwise specified);1;metric tons;1
(Thousand metric tons);2;thousand metric tons;2
Carats;25;carat;25
kilograms;12;kilogramms;12
kilograms (metal content);12;kilogramms;12
million cubic metres;6;million cubic meters;6
tonnes;1;metric tons;1
tonnes (Al2O3 content);1;metric tons;1
tonnes (K20 content);1;metric tons;1
tonnes (metal content);1;metric tons;1
tonnes (metric);1;metric tons;1
tonnes (sulphur content);1;metric tons;1
(Metric tons, zinc content of concentrate and direct shipping ore, unless otherwise specified);1;metric tons;1
;;thousand carat;13
