source;source_material_id;material_id
WMD;Iron Ore (Fe);Me.Fe
WMD;Iron (Fe);Me.Fe
WMD;Iron;Me.Fe
WMD;Chromium (Cr2O3);Me.Cr2O3
WMD;Chromium;Me.Cr2O3
WMD;Cobalt;Me.Co
WMD;Manganese;Me.Mn
WMD;Molybdenum;Me.Mo
WMD;Nickel;Me.Ni
WMD;Niobium (Nb2O5);Me.Nb2O5
WMD;Niobium;Me.Nb2O5
WMD;Tantalum (Ta2O5);Me.Ta2O5
WMD;Tantalum;Me.Ta2O5
WMD;Titanium (TiO2);Me.TiO2
WMD;Titanium;Me.TiO2
WMD;Tungsten (W);Me.W
WMD;Tungsten;Me.W
WMD;Vanadium (V2O5);Me.V2O5
WMD;Vanadium (V);Me.V2O5
WMD;Vanadium;Me.V2O5
WMD;Aluminium (primary);Me.Al
WMD;Aluminium;Me.Al
WMD;Antimony;Me.Sb
WMD;Arsenic (As2O3);Me.As2O3
WMD;Arsenic;Me.As
WMD;Bauxite (crude ore);O.Al
WMD;Bauxite;O.Al
WMD;Beryllium (conc.);Con.Be
WMD;Beryllium;Con.Be
WMD;Bismuth;Me.Bi
WMD;Cadmium;Me.Cd
WMD;Copper;Me.Cu
WMD;Gallium;Me.Ga
WMD;Germanium;Me.Ge
WMD;Indium;Me.In
WMD;Lead;Me.Pb
WMD;Lithium (Li2O);Me.Li2O
WMD;Lithium;Me.Li2O
WMD;Mercury;Me.Hg
WMD;Rare Earths (REO);Me.reo
WMD;Rare Earths Concentrates (REO);Me.reo
WMD;Rare Earth Minerals;Me.reo
WMD;Rare Earths;Me.reo
WMD;Rhenium;Me.Re
WMD;Rhenium kg;Me.Re
WMD;Selenium;Me.Se
WMD;Tellurium;Me.Te
WMD;Tin;Me.Sn
WMD;Zinc;Me.Zn
WMD;Gold;Me.Au
WMD;Gold (kg);Me.Au
WMD;Palladium;Me.Pd
WMD;Palladium (kg);Me.Pd
WMD;Platinum;Me.Pt
WMD;Platinum (kg);Me.Pt
WMD;Rhodium;Me.Rh
WMD;Rhodium (kg);Me.Rh
WMD;Silver;Me.Ag
WMD;Silver (kg);Me.Ag
WMD;Asbestos;M.asb
WMD;Baryte;M.bar
WMD;Bentonite;M.ben
WMD;Boron;M.bor
WMD;Boron minerals;M.bor
WMD;Diamonds (Gem);Nm.dig
WMD;Diam. (Gem);Nm.dig
WMD;Diamonds (Industrial);Nm.dii
WMD;Diamonds (Ind);Nm.dii
WMD;Diam. (Ind);Nm.dii
WMD;Diatomite;M.dia
WMD;Feldspar;M.fel
WMD;Fluorspar;M.flu
WMD;Graphite;M.gra
WMD;Gypsum and Anhydrite;M.gya
WMD;Gypsum;M.gya
WMD;Kaolin;M.kao
WMD;Kaolin (China-Clay);M.kao
WMD;Magnesite;O.MgCO3
WMD;Perlite;M.per
WMD;Phosphates (P2O5);Nm.PO
WMD;Phosphates;Nm.PO
WMD;Potash (K2O);Me.K2O
WMD;Potash;Me.K2O
WMD;Salt;M.sal
