USGS Commodity	USGS Denomination of production	Commodity web-URL denomination	Commodity Excel file denomination	CommodityID
ANTIMONY	ANTIMONY: WORLD MINE PRODUCTION	antimony	antim	8
ARSENIC TRIOXIDE	ARSENIC TRIOXIDE: ESTIMATED WORLD PRODUCTION	arsenic	arsen	9
ASBESTOS	ASBESTOS: WORLD PRODUCTION	asbestos	asbes	94
BARITE	BARITE: WORLD PRODUCTION	barite	barit	72
BAUXITE	BAUXITE: WORLD PRODUCTION	bauxite	bauxi	10
BENTONITE	BENTONITE: WORLD PRODUCTION	clays	clays	50
BERYL	BERYL: WORLD PRODUCTION	beryllium	beryl	11
BISMUTH	BISMUTH: ESTIMATED WORLD MINE AND REFINERY PRODUCTION	bismuth	bismu	12
BORON MINERALS	BORON MINERALS: WORLD PRODUCTION	boron	boron	73
BROMINE	BROMINE: ESTIMATED WORLD PRODUCTION	bromine	bromi	337
CADMIUM	CADMIUM: WORLD REFINERY PRODUCTION	cadmium	cadmi	13
CELESTITE	CELESTITE: WORLD PRODUCTION	strontium	stron	88
CEMENT	HYDRAULIC CEMENT: WORLD PRODUCTION	cement	cemen	
CHROMITE	CHROMITE: WORLD PRODUCTION	chromium	chrom	15
COBALT	COBALT: WORLD MINE PRODUCTION	cobalt	cobal	16
COPPER	COPPER: WORLD MINE PRODUCTION	copper	coppe	17
CRUDE IODINE	CRUDE IODINE: ESTIMATED WORLD PRODUCTION	iodine	iodin	339
DIATOMITE	DIATOMITE: ESTIMATED WORLD PRODUCTION	diatomite	diato	76
FELDSPAR	FELDSPAR: WORLD PRODUCTION	feldspar	felds	77
FLUORSPAR	FLUORSPAR: WORLD PRODUCTION	fluorspar	fluor	78
FULLER'S EARTH	FULLER'S EARTH: WORLD PRODUCTION	clays	clays	52
Gemstones	NATURAL DIAMOND: WORLD PRODUCTION	gemstones	gemst	74
GOLD	GOLD: WORLD MINE PRODUCTION	gold	gold	20
GYPSUM	GYPSUM: WORLD PRODUCTION	gypsum	gypsu	96
INDIUM	INDIUM: ESTIMATED WORLD REFINERY PRODUCTION	indium	indiu	21
Industrial diamonds	NATURAL DIAMOND: WORLD PRODUCTION	diamond	diamo	75
INDUSTRIAL SAND AND GRAVEL (SILICA)	INDUSTRIAL SAND AND GRAVEL (SILICA): WORLD PRODUCTION	silica	silic	58
IRON ORE	IRON ORE: WORLD PRODUCTION	iron_ore	feore	7
KAOLIN	KAOLIN: WORLD PRODUCTION	clays	clays	53
KYANITE AND RELATED MINERALS	KYANITE AND RELATED MINERALS: WORLD PRODUCTION	kyanite	kyani	51
LEAD	LEAD: WORLD MINE PRODUCTION OF LEAD IN CONCENTRATE	lead	lead	22
LITHIUM MINERALS AND BRINE	LITHIUM MINERALS AND BRINE: WORLD PRODUCTION	lithium	lithi	23
MAGNESITE	MAGNESITE: WORLD PRODUCTION	magnesium	mgcom	81
MAGNESIUM	MAGNESIUM: ESTIMATED PRIMARY WORLD PRODUCTION	magnesium	mgmet	24
MANGANESE ORE	MANGANESE ORE: WORLD PRODUCTION	manganese	manga	25
MARKETABLE POTASH	MARKETABLE POTASH: WORLD PRODUCTION	potash	potas	86
MERCURY	MERCURY:  WORLD MINE PRODUCTION	mercury	mercu	26
MICA	MICA: WORLD PRODUCTION	mica	mica	82
MOLYBDENUM	MOLYBDENUM: WORLD MINE PRODUCTION	molybdenum	molyb	27
MONAZITE CONCENTRATE	MONAZITE CONCENTRATE: WORLD PRODUCTION	thorium	thori	340
NATURAL GRAPHITE	NATURAL GRAPHITE: ESTIMATED WORLD PRODUCTION	graphite	graph	79
NATURAL IRON OXIDE PIGMENTS	NATURAL IRON OXIDE PIGMENTS: ESTIMATED WORLD PRODUCTION	iron_oxide	feoxi	80
NICKEL	NICKEL: WORLD MINE PRODUCTION	nickel	nicke	28
NIOBIUM AND TANTALUM	NIOBIUM AND TANTALUM:  WORLD PRODUCTION OF MINERAL CONCENTRATES	niobium	niobi	29
PEAT	PEAT: WORLD PRODUCTION	peat	peat	69
PERLITE	PERLITE: WORLD PRODUCTION	perlite	perli	97
PHOSPHATE ROCK	PHOSPHATE ROCK: WORLD PRODUCTION	phosphate_rock	phosp	85
