"Commodity","File_name"
"abrasives","myb1-2013-abras.xls"
"bauxite","myb1-2013-bauxi.xls"
"bauxite","myb1-2014-bauxi.xls"
"aluminum","myb1-2013-alumi.xls"
"aluminum","myb1-2014-alumi.xls"
"aluminum","myb1-2015-alumi.xls"
"antimony","myb1-2013-antim.xls"
"antimony","myb1-2014-antim.xls"
"arsenic","myb1-2013-arsen.xls"
"arsenic","myb1-2014-arsen.xls"
"arsenic","myb1-2015-arsen.xls"
"asbestos","myb1-2013-asbes.xls"
"asbestos","myb1-2014-asbes.xls"
"asbestos","myb1-2015-asbes.xls"
"barite","myb1-2013-barit.xls"
"barite","myb1-2014-barit.xls"
"clays","myb1-2013-clays.xls"
"beryllium","myb1-2013-beryl.xls"
"beryllium","myb1-2014-beryl.xls"
"beryllium","myb1-2015-beryl-adv.xls"
"bismuth","myb1-2013-bismu.xls"
"bismuth","myb1-2014-bismu.xls"
"bismuth","myb1-2015-bismu-adv.xls"
"boron","myb1-2013-boron.xls"
"bromine","myb1-2013-bromi.xls"
"bromine","myb1-2014-bromi.xls"
"cadmium","myb1-2013-cadmi.xls"
"cadmium","myb1-2014-cadmi.xls"
"cadmium","myb1-2015-cadmi.xls"
"stone_crushed","myb1-2013-stonc.xls"
"cement","myb1-2013-cemen.xls"
"cobalt","myb1-2013-cobal.xls"
"niobium","myb1-2013-niobi.xls"
"copper","myb1-2013-coppe.xls"
"copper","myb1-2014-coppe.xls"
"diamond","myb1-2013-diamo.xls"
"diatomite","myb1-2013-diato.xls"
"diatomite","myb1-2014-diato.xls"
"diatomite","myb1-2015-diato.xls"
"stone_dimension","myb1-2013-stond.xls"
"stone_dimension","myb1-2014-stond.xls"
"explosives","myb1-2013-explo.xls"
"explosives","myb1-2014-explo.xls"
"feldspar","myb1-2013-felds.xls"
"feldspar","myb1-2014-felds.xls"
"ferroalloys","myb1-2013-feall.xls"
"fluorspar","myb1-2013-fluor.xls"
"fluorspar","myb1-2014-fluor.xls"
