"Commodity","File_name"
"bauxite-and-alumina-statistics-and-informatio","myb1-2015-bauxi.xlsx"
"bauxite-and-alumina-statistics-and-informatio","myb1-2016-bauxi.xlsx"
"bauxite-and-alumina-statistics-and-informatio","myb1-2017-bauxi.xls"
"aluminum-statistics-and-informatio","myb1-2016-alumi.xlsx"
"aluminum-statistics-and-informatio","myb1-2017-alumi.xls"
"aluminum-statistics-and-informatio","myb1-2018-alumi-adv.xlsx"
"antimony-statistics-and-informatio","myb1-2015-antim.xls"
"antimony-statistics-and-informatio","myb1-2016-antim.xlsx"
"antimony-statistics-and-informatio","myb1-2017-antim-adv.xlsx"
"arsenic-statistics-and-informatio","myb1-2016-arsen.xlsx"
"arsenic-statistics-and-informatio","myb1-2017-arsen.xls"
"arsenic-statistics-and-informatio","myb1-2018-arsen-adv.xlsx"
"asbestos-statistics-and-informatio","myb1-2016-asbes.xlsx"
"asbestos-statistics-and-informatio","myb1-2017-asbes.xls"
"asbestos-statistics-and-informatio","myb1-2018-asbes-adv.xlsx"
"barite-statistics-and-informatio","myb1-2015-barit.xls"
"barite-statistics-and-informatio","myb1-2016-barit.xls"
"barite-statistics-and-informatio","myb1-2017-barit.xls"
"barite-statistics-and-informatio","myb1-2018-barit-adv.xlsx"
"clays-statistics-and-informatio","myb1-2014-clays.xlsx"
"clays-statistics-and-informatio","myb1-2015-clays.xlsx"
"clays-statistics-and-informatio","myb1-2016-clays.xls"
"beryllium-statistics-and-informatio","myb1-2015-beryl.xls"
"beryllium-statistics-and-informatio","myb1-2016-beryl.xlsx"
"beryllium-statistics-and-informatio","myb1-2017-beryl.xls"
"beryllium-statistics-and-informatio","myb1-2018-beryl-adv.xlsx"
"bismuth-statistics-and-informatio","myb1-2015-bismu.xlsx"
"bismuth-statistics-and-informatio","myb1-2016-bismu.xlsx"
"bismuth-statistics-and-informatio","myb1-2017-bismu.xls"
"bismuth-statistics-and-informatio","myb1-2018-bismu-adv.xlsx"
"boron-statistics-and-informatio","myb1-2016-boron.xlsx"
"boron-statistics-and-informatio","nyb1-2017-boron.xls"
"boron-statistics-and-informatio","myb1-2018-boron-adv.xlsx"
"bromine-statistics-and-informatio","myb1-2016-bromi.xlsx"
"bromine-statistics-and-informatio","myb1-2017-bromi.xls"
"bromine-statistics-and-informatio","myb1-2018-bromi-adv.xlsx"
"cadmium-statistics-and-informatio","myb1-2016-cadmi.xlsx"
"cadmium-statistics-and-informatio","myb1-2017-cadmi.xls"
"cadmium-statistics-and-informatio","myb1-2018-cadmi-adv.xlsx"
"crushed-stone-statistics-and-informatio","myb1-2015-stonc.xls"
"crushed-stone-statistics-and-informatio","myb1-2016-stonc.xls"
"crushed-stone-statistics-and-informatio","myb1-2017-stonc-adv.xlsx"
"cement-statistics-and-informatio","myb1-2016-cemen-advrel.xlsx"
"cement-statistics-and-informatio","myb1-2013-cemen.xlsx"
"cement-statistics-and-informatio","myb1-2014-cemen.xlsx"
"cement-statistics-and-informatio","myb1-2015-cemen.xlsx"
"cement-statistics-and-informatio","myb1-2016-cement.xls"
"cement-statistics-and-informatio","myb1-2017-cemen.xls"
"chromium-statistics-and-informatio","myb1-2015-chrom.xlsx"
"chromium-statistics-and-informatio","myb1-2016-chrom.xls"
"chromium-statistics-and-informatio","myb1-2017-chrom.xlsx"
"chromium-statistics-and-informatio","myb1-2018-chrom-adv.xlsx"
"cobalt-statistics-and-informatio","myb1-2015-cobal.xls"
"cobalt-statistics-and-informatio","myb1-2016-cobal.xls"
"cobalt-statistics-and-informatio","myb1-2017-cobal-adv.xlsx"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2015-niobi.xlsx"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2016-niobi.xlsx"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2017-niobi.xls"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2018-niobi-adv.xlsx"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2015-tanta.xls"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2016-tanta.xlsx"
"niobium-columbium-and-tantalum-statistics-and-informatio","myb1-2017-tanta.xls"
"industrial-diamond-statistics-and-informatio","myb1-2014-diamo.xlsx"
"industrial-diamond-statistics-and-informatio","myb1-2015-diamo.xlsx"
"industrial-diamond-statistics-and-informatio","myb1-2016-diamo.xls"
"industrial-diamond-statistics-and-informatio","myb1-2017-diamo-adv.xlsx"
"diatomite-statistics-and-informatio","myb1-2016-diato.xlsx"
"diatomite-statistics-and-informatio","myb1-2017-diato.xls"
"diatomite-statistics-and-informatio","myb1-2018-diato-adv.xlsx"
"dimension-stone-statistics-and-informatio","myb1-2015-stond.xls"
"dimension-stone-statistics-and-informatio","myb1-2016-stond.xlsx"
"dimension-stone-statistics-and-informatio","myb1-2017-stond.xls"
"explosives-statistics-and-informatio","myb1-2015-explo.xls"
"explosives-statistics-and-informatio","myb1-2016-explo.xls"
"explosives-statistics-and-informatio","myb1-2017-explo.xls"
"explosives-statistics-and-informatio","myb-2018-explo-adv.xls"
"feldspar-statistics-and-informatio","myb1-2015-felds.xls"
"feldspar-statistics-and-informatio","myb1-2016-felds.xls"
"feldspar-statistics-and-informatio","myb1-2017-felds.xls"
"ferroalloys-statistics-and-informatio","myb1-2015-feall.xlsx"
"ferroalloys-statistics-and-informatio","myb1-2016-feall.xls"
"ferroalloys-statistics-and-informatio","myb1-2017-feall-adv.xlsx"
"fluorspar-statistics-and-informatio","myb1-2015-fluor.xls"
"fluorspar-statistics-and-informatio","myb1-2016-fluor.xls"
"fluorspar-statistics-and-informatio","myb1-2017-fluor.xls"
"gallium-statistics-and-informatio","myb1-2015-galli.xls"
"gallium-statistics-and-informatio","myb1-2016-galli.xlsx"
"gallium-statistics-and-informatio","myb1-2017-galli.xls"
"gallium-statistics-and-informatio","myb1-2018-galli-adv.xlsx"
"garnet-statistics-and-informatio","myb1-2014-garne.xls"
"garnet-statistics-and-informatio","myb1-2015-garne.xlsx"
"garnet-statistics-and-informatio","myb1-2016-garne.xlsx"
"garnet-statistics-and-informatio","myb1-2017-garne.xls"
"garnet-statistics-and-informatio","myb1-2018-garne-adv.xlsx"
"gemstones-statistics-and-informatio","myb1-2014-gemst.xls"
"gemstones-statistics-and-informatio","myb1-2015-gemst.xlsx"
"gemstones-statistics-and-informatio","myb1-2016-gemst.xls"
"germanium-statistics-and-informatio","myb1-2015-germa.xlsx"
"germanium-statistics-and-informatio","myb1-2016-germa.xlsx"
"germanium-statistics-and-informatio","myb1-2017-germa.xls"
"gold-statistics-and-informatio","myb1-2015-gold.xls"
"gold-statistics-and-informatio","myb1-2016-gold.xlsx"
"gold-statistics-and-informatio","myb1-2017-gold.xls"
"graphite-statistics-and-informatio","myb1-2014-graph.xls"
"graphite-statistics-and-informatio","myb1-2015-graph.xlsx"
"graphite-statistics-and-informatio","myb1-2016-graph.xls"
"graphite-statistics-and-informatio","myb1-2017-graph.xls"
"gypsum-statistics-and-informatio","myb1-2015-gypsu.xls"
"gypsum-statistics-and-informatio","myb1-2016-gypsu.xlsx"
"gypsum-statistics-and-informatio","myb1-2017-gypsu.xls"
"gypsum-statistics-and-informatio","myb1-2018-gypsu-adv.xlsx"
"zirconium-and-hafnium-statistics-and-informatio","myb1-2015-zirco.xlsx"
"zirconium-and-hafnium-statistics-and-informatio","myb1-2016-zirco.xls"
"zirconium-and-hafnium-statistics-and-informatio","myb1-2017-zirco.xls"
"helium-statistics-and-informatio","myb1-2015-heliu.xls"
"helium-statistics-and-informatio","myb1-2016-heliu.xls"
"titanium-statistics-and-informatio","myb1-2015-titan.xlsx"
"titanium-statistics-and-informatio","myb1-2016-titan.xls"
"titanium-statistics-and-informatio","myb1-2017-titan.xls"
"indium-statistics-and-informatio","myb1-2015-indiu.xls"
"indium-statistics-and-informatio","myb1-2016-indium.xlsx"
"indium-statistics-and-informatio","myb1-2017-indiu.xls"
"iodine-statistics-and-informatio","myb1-2016-iodin.xlsx"
"iodine-statistics-and-informatio","myb1-2017-iodin.xlsx"
"iodine-statistics-and-informatio","myb1-2018-iodin-adv.xlsx"
"platinum-group-metals-statistics-and-informatio","myb1-2015-plati.xls"
"platinum-group-metals-statistics-and-informatio","myb1-2016-plati.xlsx"
"platinum-group-metals-statistics-and-informatio","myb1-2017-plati.xls"
"platinum-group-metals-statistics-and-informatio","myb1-2018-plati-adv.xlsx"
"iron-ore-statistics-and-informatio","myb1-2014-feore.xls"
"iron-ore-statistics-and-informatio","myb1-2015-feore.xlsx"
"iron-ore-statistics-and-informatio","myb1-2016-feore.xls"
"iron-ore-statistics-and-informatio","myb1-2017-feore.xls"
"iron-ore-statistics-and-informatio","myb1-2018-feore-adv.xlsx"
"iron-and-steel-statistics-and-informatio","myb1-2016-feste-adv.xlsx"
"iron-and-steel-statistics-and-informatio","myb1-2015-feste.xls"
"iron-and-steel-statistics-and-informatio","myb1-2016-feste.xls"
"iron-and-steel-statistics-and-informatio","myb1-2017-feste.xls"
"iron-and-steel-statistics-and-informatio","myb1-2018-feste-advrel.xlsx"
"iron-and-steel-scrap-statistics-and-informatio","myb1-2015-fescr.xls"
"iron-and-steel-scrap-statistics-and-informatio","myb1-2016-fescr.xls"
"iron-and-steel-scrap-statistics-and-informatio","myb1-2017-fescr.xls"
"iron-and-steel-slag-statistics-and-informatio","myb1-2015-fesla.xls"
"iron-and-steel-slag-statistics-and-informatio","myb1-2016-fesla.xlsx"
"iron-and-steel-slag-statistics-and-informatio","myb1-2017-fesla.xls"
"iron-oxide-pigments-statistics-and-informatio","myb1-2015-feoxi.xls"
"iron-oxide-pigments-statistics-and-informatio","myb1-2016-feoxi.xlsx"
"iron-oxide-pigments-statistics-and-informatio","myb1-2017-feoxi.xls"
"iron-oxide-pigments-statistics-and-informatio","myb1-2018-feoxi-adv.xlsx"
"kyanite-and-related-minerals-statistics-and-informatio","myb1-2015-kyani.xlsx"
"kyanite-and-related-minerals-statistics-and-informatio","myb1-2016-kyani.xlsx"
"kyanite-and-related-minerals-statistics-and-informatio","myb1-2017-kyani.xls"
"kyanite-and-related-minerals-statistics-and-informatio","myb1-2018-kyani-adv.xlsx"
"lead-statistics-and-informatio","myb1-2015-lead.xls"
"lead-statistics-and-informatio","myb1-2016-lead.xls"
"lime-statistics-and-informatio","myb1-2015-lime.xlsx"
"lime-statistics-and-informatio","myb1-2016-lime.xls"
"lime-statistics-and-informatio","myb1-2017-lime.xls"
"lime-statistics-and-informatio","myb1-2018-lime-adv.xlsx"
"lithium-statistics-and-informatio","myb1-2015-lithi.xls"
"lithium-statistics-and-informatio","myb1-2016-lithi.xlsx"
"lithium-statistics-and-informatio","myb1-2017-lithi.xls"
"magnesium-statistics-and-informatio","myb1-2015-mgmet.xls"
"magnesium-statistics-and-informatio","myb1-2016-mgmet.xlsx"
"magnesium-statistics-and-informatio","myb1-2017-mgmet.xls"
"magnesium-statistics-and-informatio","myb1-2018-mgmet-adv.xlsx"
"magnesium-compounds-statistics-and-informatio","myb1-2016-mgcom.xlsx"
"magnesium-compounds-statistics-and-informatio","myb1-2017-mgcom.xls"
