"","commodity_id","mineral_id","est_factor"
"1","Me.Ag","O.Ag",0.54387875
"2","Me.Al","O.Al",NA
"3","Me.Au","O.Au",5.59798541666667e-06
"4","Me.Be","O.Be",NA
"5","Me.Co","O.Co",1
"6","Me.Cu","O.Cu",0.130144390243902
"7","Me.Fe","O.Fe",NA
"8","Me.Hf","O.Zr",NA
"9","Me.K2O","O.K2O",0.426315789473684
"10","Me.Mn","O.Mn",NA
"11","Me.Mo","O.Mo",0.384991923076923
"12","Me.Nb","O.Nb",NA
"13","Me.Nb","O.NbTa",NA
"14","Me.Nb","O.Ta",NA
"15","Me.Ni","O.Ni",0.319710344827586
"16","Me.Pb","O.Pb",0.0674472608678556
"17","Me.Pd","O.PGM",0.416673666666667
"18","Me.Pt","O.PGM",0.416673666666667
"19","Me.Rh","O.PGM",0.416673666666667
"20","Me.Sn","O.Sn",0.006478
"21","Me.Ta","O.Nb",NA
"22","Me.Ta","O.NbTa",NA
"23","Me.Ta","O.Ta",NA
"24","Me.Ti","O.FeTiO",NA
"25","Me.Ti","O.leu",NA
"26","Me.Ti","O.TiO",NA
"27","Me.TO","O.Nb",NA
"28","Me.TO","O.NbTa",NA
"29","Me.TO","O.Ta",NA
"30","Me.U","O.U",0.002
"31","Me.UO","O.U",0.002
"32","Me.W","O.WO",0.00394916666666667
"33","Me.Zn","O.Zn",0.0716200991652799
"34","Me.Zr","O.Zr",NA
"35","Nm.dig","O.dig",3.01067866666667e-07
"36","Nm.dii","O.dii",3.68236636363636e-07
"37","Nm.P","O.P",NA
"38","Nm.PO","O.P",NA
"39","Nm.SiO","M.SiO",NA
"40","Nm.SiO","M.sis",NA
