alphanumiso;commodity;year;ratio_ore_per_met
ARG032;Me.Ag;2005;500.23060946194175
ARG032;Me.Ag;2006;391.2989201592257
ARG032;Me.Ag;2007;393.6510710386759
ARG032;Me.Ag;2008;634.1945967817155
ARG032;Me.Ag;2009;1770.7713562767633
ARG032;Me.Ag;2010;2557.3901896695616
ARG032;Me.Ag;2011;4129.4188101898135
ARG032;Me.Ag;2012;4901.225456622059
ARG032;Me.Ag;2013;4429.616842178906
ARG032;Me.Ag;2014;3681.6776354941353
ARG032;Me.Ag;2015;3137.5775527804826
ARG032;Me.Ag;2016;444.90290870486683
ARG032;Me.Ag;2017;819.428011362477
ARG032;Me.Ag;2018;3979.0095309678036
ARG032;Me.Ag;2019;3450.6974619412413
ARG032;Me.Au;2001;103746.94736797635
ARG032;Me.Au;2002;118236.74448640882
ARG032;Me.Au;2003;151897.44447177398
ARG032;Me.Au;2004;150457.65826825006
ARG032;Me.Au;2005;702783.3200636129
ARG032;Me.Au;2006;561414.7360392784
ARG032;Me.Au;2007;605195.465829455
ARG032;Me.Au;2008;707168.6740710217
ARG032;Me.Au;2009;667014.4925878257
ARG032;Me.Au;2010;688538.9712945956
ARG032;Me.Au;2011;774110.1971966717
ARG032;Me.Au;2012;704396.5221156015
ARG032;Me.Au;2013;747156.8492410829
ARG032;Me.Au;2014;994108.9527007438
ARG032;Me.Au;2015;879445.7592659475
ARG032;Me.Au;2016;987708.3355073552
ARG032;Me.Au;2017;193368.54443200646
ARG032;Me.Au;2018;159342.11802716902
ARG032;Me.Au;2019;107374.10855972201
ARG032;Me.Cu;2005;126.8435081999684
ARG032;Me.Cu;2006;124.30054621433142
ARG032;Me.Cu;2007;134.02170750577184
ARG032;Me.Cu;2008;152.84555384617065
ARG032;Me.Cu;2009;172.9096597357206
ARG032;Me.Cu;2010;177.05346023822185
ARG032;Me.Cu;2011;213.23014091870422
ARG032;Me.Cu;2012;198.8981923428243
ARG032;Me.Cu;2013;227.1283922530311
ARG032;Me.Cu;2014;223.54976306138977
ARG032;Me.Cu;2015;346.1244317874499
ARG032;Me.Cu;2016;271.48057436280965
ARG032;Me.Pb;2018;35.03550678286083
ARG032;Me.Pb;2019;16.333526441525496
ARG032;Me.Zn;2011;20.31145523379421
ARG032;Me.Zn;2012;24.888305032497854
ARG032;Me.Zn;2013;22.642856229059447
ARG032;Me.Zn;2014;21.361782894631343
ARG032;Me.Zn;2015;20.419981695297484
ARG032;Me.Zn;2018;45.53101563990216
ARG032;Me.Zn;2019;21.22652463607741
AUS036;Me.Ag;2000;888.0865241706965
AUS036;Me.Ag;2001;906.0118477241881
AUS036;Me.Ag;2002;791.1194589268707
AUS036;Me.Ag;2003;866.4134622281383
AUS036;Me.Ag;2004;948.1555518875842
AUS036;Me.Ag;2005;1232.6897526578223
AUS036;Me.Ag;2006;1500.5653059101223
AUS036;Me.Ag;2007;2006.556623576267
AUS036;Me.Ag;2008;1734.1833822092276
AUS036;Me.Ag;2009;1659.8437825627645
AUS036;Me.Ag;2010;1581.6937968156662
AUS036;Me.Ag;2011;1704.784602967329
AUS036;Me.Ag;2012;5762.104103379702
AUS036;Me.Ag;2013;7414.80423785418
AUS036;Me.Ag;2014;8446.156834651187
AUS036;Me.Ag;2015;8666.309296045836
AUS036;Me.Ag;2016;2028.3882459325766
AUS036;Me.Ag;2017;2017.2810173980063
AUS036;Me.Ag;2018;2163.712096796124
AUS036;Me.Ag;2019;2191.716442214978
AUS036;Me.Ag;2020;3470.027707552314
AUS036;Me.Au;2001;702204.9737913043
AUS036;Me.Au;2002;505247.7044335217
AUS036;Me.Au;2003;475294.77617299545
AUS036;Me.Au;2004;447558.55668761587
AUS036;Me.Au;2005;465523.87622715597
AUS036;Me.Au;2006;509685.00436006393
AUS036;Me.Au;2007;478930.7234675678
AUS036;Me.Au;2008;392897.8940955976
AUS036;Me.Au;2009;399203.10290726635
