alphanumiso;commodity;year;ratio_ore_per_met
AGO024;Nm.dig;1970;18494441.5
AGO024;Nm.dig;1971;18494441.5
AGO024;Nm.dig;1972;18494441.5
AGO024;Nm.dig;1973;18494441.5
AGO024;Nm.dig;1974;18494441.5
AGO024;Nm.dig;1975;18494441.5
AGO024;Nm.dig;1976;18494441.5
AGO024;Nm.dig;1977;18494441.5
AGO024;Nm.dig;1978;18494441.5
AGO024;Nm.dig;1979;18494441.5
AGO024;Nm.dig;1980;18494441.5
AGO024;Nm.dig;1981;18494441.5
AGO024;Nm.dig;1982;18494441.5
AGO024;Nm.dig;1983;18494441.5
AGO024;Nm.dig;1984;18494441.5
AGO024;Nm.dig;1985;18494441.5
AGO024;Nm.dig;1986;18494441.5
AGO024;Nm.dig;1987;18494441.5
AGO024;Nm.dig;1988;18494441.5
AGO024;Nm.dig;1989;18494441.5
AGO024;Nm.dig;1990;18494441.5
AGO024;Nm.dig;1991;18494441.5
AGO024;Nm.dig;1992;18494441.5
AGO024;Nm.dig;1993;18494441.5
AGO024;Nm.dig;1994;18494441.5
AGO024;Nm.dig;1995;18494441.5
AGO024;Nm.dig;1996;18494441.5
AGO024;Nm.dig;1997;18494441.5
AGO024;Nm.dig;1998;18494441.5
AGO024;Nm.dig;1999;18494441.5
AGO024;Nm.dig;2000;18494441.5
AGO024;Nm.dig;2001;18494441.5
AGO024;Nm.dig;2002;18494441.5
AGO024;Nm.dig;2003;18494441.5
AGO024;Nm.dig;2004;18494441.5
AGO024;Nm.dig;2005;18494441.5
AGO024;Nm.dig;2006;18494441.5
AGO024;Nm.dig;2007;18494441.5
AGO024;Nm.dig;2008;18494441.5
AGO024;Nm.dig;2009;18494441.5
AGO024;Nm.dig;2010;18494441.5
AGO024;Nm.dig;2011;18494441.5
AGO024;Nm.dig;2012;18494441.5
AGO024;Nm.dig;2013;18494441.5
AGO024;Nm.dig;2014;18494441.5
AGO024;Nm.dig;2015;18494441.5
AGO024;Nm.dig;2016;18494441.5
AGO024;Nm.dig;2017;18494441.5
AGO024;Nm.dig;2018;18494441.5
