"","commodity_id","mineral_id","region","est_factor"
"1","Me.Ag","O.Ag","Africa",0.500155
"2","Me.Ag","O.Ag","Asia + Pacific",1
"3","Me.Ag","O.Ag","EECCA",0.333670666666667
"4","Me.Ag","O.Ag","Europe",0.561194444444444
"5","Me.Ag","O.Ag","Latin America + Caribbean",0.333419333333333
"6","Me.Ag","O.Ag","North America",0.500225
"7","Me.Al","O.Al","Africa",NA
"8","Me.Al","O.Al","Asia + Pacific",NA
"9","Me.Al","O.Al","EECCA",0.47
"10","Me.Al","O.Al","Europe",NA
"11","Me.Al","O.Al","Latin America + Caribbean",NA
"12","Me.Al","O.Al","West Asia",NA
"13","Me.Au","O.Au","Africa",4.98374e-06
"14","Me.Au","O.Au","Asia + Pacific",5.675e-06
"15","Me.Au","O.Au","EECCA",5.5e-06
"16","Me.Au","O.Au","Europe",4.3539e-06
"17","Me.Au","O.Au","Latin America + Caribbean",6.54238095238095e-06
"18","Me.Au","O.Au","North America",1.85865e-06
"19","Me.Be","O.Be","Africa",NA
"20","Me.Be","O.Be","Asia + Pacific",1
"21","Me.Be","O.Be","EECCA",NA
"22","Me.Be","O.Be","Europe",NA
"23","Me.Be","O.Be","Latin America + Caribbean",NA
"24","Me.Be","O.Be","North America",1
"25","Me.Co","O.Co","Africa",1
"26","Me.Co","O.Co","Asia + Pacific",1
"27","Me.Co","O.Co","EECCA",1
"28","Me.Co","O.Co","Europe",1
"29","Me.Co","O.Co","Latin America + Caribbean",1
"30","Me.Co","O.Co","North America",1
"31","Me.Cu","O.Cu","Africa",0.2645375
"32","Me.Cu","O.Cu","Asia + Pacific",0.008765
"33","Me.Cu","O.Cu","EECCA",0.176
"34","Me.Cu","O.Cu","Europe",0.255375
"35","Me.Cu","O.Cu","Latin America + Caribbean",0.00876875
"36","Me.Cu","O.Cu","North America",0.0059
"37","Me.Cu","O.Cu","West Asia",0.0052
"38","Me.Fe","O.Fe","Africa",NA
"39","Me.Fe","O.Fe","Asia + Pacific",0.365285714285714
"40","Me.Fe","O.Fe","EECCA",0.3225
"41","Me.Fe","O.Fe","Europe",NA
"42","Me.Fe","O.Fe","Latin America + Caribbean",NA
"43","Me.Fe","O.Fe","North America",0.28
"44","Me.Hf","O.Zr","Africa",NA
"45","Me.Hf","O.Zr","Asia + Pacific",0.888888888888889
"46","Me.Hf","O.Zr","EECCA",1
"47","Me.Hf","O.Zr","Latin America + Caribbean",1
"48","Me.Hf","O.Zr","North America",1
"49","Me.K2O","O.K2O","Africa",0.45
"50","Me.K2O","O.K2O","Asia + Pacific",0.225
"51","Me.K2O","O.K2O","EECCA",0.45
"52","Me.K2O","O.K2O","Europe",0.45
"53","Me.K2O","O.K2O","Latin America + Caribbean",0.45
"54","Me.K2O","O.K2O","North America",0.45
