Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	AFG	4	AFG004	29	28	30	43	44	45	51	60	39	43	15	29	27	4	34	23	26	30	30	30	34	34	35	35	35	35	35	35	35	35	15	8	9	11	11	9	15	9	11	10	11	12
Albania	ALB	8	ALB008	111	111	111	158	158	198	213	229	243	257	305	335	253	256	262	260	260	261	227	229	228	182	61	61	61	61	205	219	259	309	416	485	475	565	563	665	641	542	535	690	485	516
Algeria	DZA	12	DZA012	928	936	1113	1288	1533	1704	2061	2348	2801	2776	2962	3203	3587	4092	4527	4452	4677	4780	4457	4604	4337	4260	4491	4331	4293	4415	4372	4122	4276	4316	4617	4500	4842	5314	5361	5429	6150	6423	6754	7207	7994	7720
American Samoa	ASM	16	ASM016																																										
Andorra	AND	20	AND020																										17	18	20	26	27	32	33	35	29	53	42	31	31	22	12	11	12
Angola	AGO	24	AGO024	116	137	147	153	166	138	36	43	79	109	48	75	72	59	98	96	92	90	283	68	53	79	91	76	76	61	82	92	106	61	61	122	181	213	242	400	416	616	541	1322	1090	1278
Anguilla	AIA	660	AIA660																															0		0	0	0		0	0	0			
Antigua and Barbuda	ATG	28	ATG028				0	0	0		0	0			6	6	7	7	8	8	9	9	9	10	10	11	11	12	12	12	13	13	14	15	13	10	8	5	3	29	21	12	0	2	10
Argentina	ARG	32	ARG032	1535	1693	1656	1577	1644	1673	1738	1775	1923	2090	2244	2009	1646	1691	1568	1385	1677	1910	1825	1336	1083	1030	1530	1686	1901	1609	1530	2117	2227	2244	2659	2406	1661	2280	2566	3288	3989	4354	4527	4622	5135	5860
Armenia	ARM	51	ARM051																							122	61	30	69	86	67	91	75	60	87	106	106	91	71	69	72	110	106	137	99
Aruba	ABW	533	ABW533																			10	16	14	13	13	13	13	14	14	14	14	14	14	15	15	15	15	15	15	16	16	16	11	16
Australia	AUS	36	AUS036	9978	10391	12049	8442	9019	7771	8153	8487	8569	8512	9479	10090	9807	7595	8122	9021	9020	8514	8905	10168	9151	7872	7595	8108	8915	8774	7301	7446	7628	8100	8680	7661	8335	8951	9433	9356	9084	9635	9439	9044	8785	8793
Austria	AUT	40	AUT040	6788	7378	7616	7683	7660	6580	6360	6181	5764	5700	5602	5284	4944	4723	4866	4547	4588	4483	4843	4802	4836	4917	5012	5232	8239	2313	1528	1598	1623	1526	1458	1427	1485	1473	1508	1804	1770	1783	1788	1560	1538	1600
Azerbaijan	AZE	31	AZE031																							539	416	378	154	145	192	223	205	262	323	552	637	1091	1159	1500	1712	1706	1671	1689	1875
Bahamas	BHS	44	BHS044	254	253	300	290	242	59	66	0	66	93	91	8	10	12	11	17	46	88	96	87	79	71	61	52	44	35	35	36	21	23	38	33	41	15	9	18	17	18	15	19	15	17
