Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	AFG	4	AFG004	253.2251125	243.5726214	265.7736931	377.6824655	391.6704834	394.1057125	447.7918112	525.6650555	340.5841925	377.0858692	136.2390292	255.4314542	233.5411525	34.06644748	299.2388183	206.7803925	231.1059234	267.6076	267.045624	267.6076	299.720512	299.720512	307.74874	307.74874	307.74874	307.74874	310.424816	310.424816	310.424816	310.424816	133.8038	66.9019	80.28228	93.66266	93.66266	80.28228	133.8038	80.28228	99.8176348	84.296394	95.2683056	101.690888
Albania	ALB	8	ALB008	973.1282766	973.1282766	973.1282766	1389.124291	1386.689062	1744.319858	1878.123658	2011.927458	2140.8608	2262.488454	2680.946458	2980.509287	2257.993538	2279.859069	2338.275818	2316.360746	2316.360746	2330.970131	2025.069873	2049.741304	3875.37744	2320.73466	909.78566	1182.20054	1692.97844	1658.92658	2483.413692	2507.800519	2827.517145	3296.489584	4207.660086	4829.46069	4215.277461	5514.16699	6045.171076	7217.114452	6940.633463	5762.80803	5254.695635	10014.39103	6153.655188	5703.404347
Algeria	DZA	12	DZA012	3813.687447	4042.628866	4729.911927	5701.79567	7370.712177	7831.973407	9440.28395	10610.45727	12014.09797	13100.55943	13696.63215	14832.06085	19686.34981	21855.00721	24173.1801	23510.21294	38552.95914	38465.24748	36661.52763	37711.15819	33622.67152	31375.60299	32089.79305	31820.97877	30502.6011	33163.56699	30186.20888	27183.65743	27881.67084	28763.4891	33796.67952	35316.88329	40695.24463	45476.40773	46555.51176	48664.17415	56098.62843	65413.7659	72959.86112	79211.99858	75868.60673	72344.65012
American Samoa	ASM	16	ASM016																																										
Andorra	AND	20	AND020																										145.790774	161.526505	174.6154041	227.8613632	234.0617242	278.1161624	288.0820675	307.2049292	258.511813	464.3626117	370.1360409	275.9026729	273.8070298	195.506649	109.190128	93.41710059	103.0837401
Angola	AGO	24	AGO024	1709.5812	1783.418326	2211.622894	1927.005456	2209.88454	1895.145521	488.5014264	512.2565759	835.2359563	997.1716124	525.1067157	793.7246654	735.5429254	521.669498	1140.566292	992.789055	1035.553432	1051.150722	2822.453367	1106.624657	986.8023566	1089.037346	1245.49698	1123.0438	1134.39442	960.86345	824.6961	1043.861896	1174.98962	776.254296	909.78566	1410.949	1938.135972	2213.7718	2575.506752	3825.50668	4415.36504	6542.60239	6615.836464	14282.82585	13281.34717	14501.36549
Anguilla	AIA	660	AIA660																															4.081053365		0.004246933	0.311166089	0.031537556		0.001115924	0.058490993	0.001233671			
Antigua and Barbuda	ATG	28	ATG028				0	0	0		0.05599689	0.114859858			52.17336643	55.95422057	59.7350747	63.51592883	67.29678296	71.0776371	74.85849123	78.63934536	82.4201995	86.20105363	89.98190776	93.76276189	97.54361603	101.3244702	105.1053243	108.8861784	112.6670326	116.4478867	120.2287408	133.1829183	111.1652225	89.14752677	67.12983103	45.11213528	23.08753794	258.7030561	181.7005588	108.2330455	0.290447909	14.25946829	89.74792476
Argentina	ARG	32	ARG032	40331.30519	39554.34423	36128.71563	32574.23284	30915.00483	29643.56171	30829.92167	33977.95072	35998.67468	41318.46624	41206.88148	38656.91182	30562.03046	28076.12996	25893.12803	24920.62464	28488.87575	32819.6887	30466.2409	21598.74027	16073.32816	16524.60323	21962.29759	30378.36318	34466.162	29156.08167	29415.51859	39080.0331	48045.33794	45342.83887	35496.93125	28995.7013	21301.80339	30067.22506	38548.40657	42929.14084	46150.90863	48984.43256	44806.64503	46316.35772	48666.39652	54648.51828
Armenia	ARM	51	ARM051																					0	0	1070.4304	535.2152	267.6076	610.145328	754.653432	589.6920658	802.8228	663.851417	528.1391466	765.3069334	929.1515704	936.206068	798.4859271	1666.318857	1795.067365	1957.47077	2433.031098	2296.786225	2298.134993	1892.965109
Aruba	ABW	533	ABW533																			86.15626682	141.3931515	127.620887	113.4433789	114.9072688	116.3711588	117.8350488	119.2989388	120.7628288	122.2267188	123.6906088	125.1544988	126.6183888	128.0822787	129.5461687	131.0100587	132.4739487	133.9378387	135.4017287	136.8656187	138.3295087	139.7931284	99.27276967	139.7904737
Australia	AUS	36	AUS036	27787.03515	26971.88731	29106.31085	30110.25288	29791.70125	29032.61876	29382.89935	32163.36011	30655.08901	31942.7056	31701.38173	32981.05717	32269.60618	29557.03317	30402.7023	33908.81306	34567.22118	33819.71969	35343.89377	40014.08776	40548.26318	37493.77586	34543.56284	36979.67519	42868.01427	40419.33814	40794.00092	41199.92027	42550.57551	44535.1435	47259.19534	43252.41628	48316.87444	50405.53797	58390.69956	65212.74643	65079.14713	65267.0786	68641.66472	63610.2568	60154.44771	62065.0092
