Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	AFG	4	AFG004	4.73127655	4.5509287	4.96573515	7.05664685	7.318	7.3635	8.366575	9.8215644	6.3635	7.0455	2.5455	4.7725	4.3635	0.6365	5.591	3.8635	4.318	5	4.9895	5	5.6	5.6	5.75	5.75	5.75	5.75	5.8	5.8	5.8	5.8	2.5	1.25	1.5	1.75	1.75	1.5	2.5	1.5	1.865	1.575	1.78	1.9
Albania	ALB	8	ALB008	18.182	18.182	18.182	25.9545	25.909	32.591	35.091	37.591	40	42.2725	50.091	55.1365	41.591	42.0455	43.091	42.7275	42.7275	42.9545	37.285	37.7	37.5	30	10	10	10	10	33.6757344	36.040062	42.6498983	50.77598625	68.4365901	79.7326184	78.1223254	92.8474608	92.5891409	109.3959972	105.5026611	89.2221314	87.999479	113.5193076	79.7707589	84.9310914
Algeria	DZA	12	DZA012	71.2552156	75.53277385	88.3740209	106.532768	137.7149262	146.3331648	176.3829568	198.2465608	224.4722864	244.771812	255.9088784	277.1233113	367.8212018	408.3405555	448.3051781	439.2665406	464.5628791	461.0153856	410.5559959	445.0172437	399.1262963	391.5384658	399.165608	389.0440329	410.2197441	441.6805626	419.5777074	390.8355964	400.0599654	410.1736479	467.949182	467.086318	523.0400939	628.9136091	617.2642956	635.030965	758.031167	807.3752984	866.2937537	945.1152719	1079.061604	1038.312935
American Samoa	ASM	16	ASM016																																										
Andorra	AND	20	AND020																										2.7239655	3.01797305	3.262527	4.2573784	4.3732264	5.19634275	5.38254645	5.7398394	4.83005365	8.67618505	6.9156489	5.15498575	5.1158306	3.65286055	2.04011635	1.74541195	1.92602415
Angola	AGO	24	AGO024	19.0265232	22.50565205	24.1439831	25.1884445	27.2926408	22.6844888	5.9460592	7.0261296	13.0607	17.995	7.90245	12.2851	11.83425556	9.746911111	16.11456667	15.79235782	15.21287778	14.76203333	46.47868889	11.13284444	8.682	12.925	15	12.5	12.5	10	13.5	15.05	17.5	10.05	10	20	29.85	35	39.85	65.75	68.5	101.2469566	89	217.3628691	179.3098537	210.1212311
Anguilla	AIA	660	AIA660																															0.0762507		0.00007935	0.00581385	0.00058925		0.00002085	0.00109285	0.00002305			
Antigua and Barbuda	ATG	28	ATG028				0	0	0		0.00104625	0.00214605			0.974811	1.045452756	1.116094511	1.186736267	1.257378022	1.328019778	1.398661533	1.469303289	1.539945044	1.6105868	1.681228556	1.751870311	1.822512067	1.893153822	1.963795578	2.034437333	2.105079089	2.175720844	2.2463626	2.4883994	2.07701916	1.66563892	1.25425868	0.84287844	0.43136925	4.83362685	3.39490655	2.02223415	0.00542675	0.26642495	1.6768568
Argentina	ARG	32	ARG032	252.4603235	278.4075937	272.2995957	259.3304844	270.320358	275.1948568	285.9087992	291.9199264	316.3145045	343.8161782	369.0891006	330.352465	270.7238609	278.054361	257.9283573	227.7406822	275.8885803	314.1785679	300.1092668	219.6827132	178.1595709	169.4130864	251.6968576	277.2441622	312.5842244	264.586604	251.619574	348.210048	366.2050104	369.1544254	317.5280751	285.7666884	189.7303948	251.0715564	303.9208169	372.4100004	443.0130702	482.5940623	485.3368598	457.556427	507.1907712	591.6033921
Armenia	ARM	51	ARM051																							20	10	5	11.4	14.1	11.01784975	15	12.4034485	9.8677905	14.2990508	17.360336	17.49214275	14.91896955	11.6471277	11.30540625	11.84418215	18.1353478	17.4642242	22.57924425	16.28147535
Aruba	ABW	533	ABW533																			1.60975	2.6418	2.384478	2.1195844	2.146935828	2.174287256	2.201638683	2.228990111	2.256341539	2.283692967	2.311044394	2.338395822	2.36574725	2.393098678	2.420450106	2.447801533	2.475152961	2.502504389	2.529855817	2.557207244	2.584558672	2.61190505	1.8548197	2.61185545
Australia	AUS	36	AUS036	225.2379199	234.1842808	240.343952	260.3741332	253.7860639	245.3293579	250.6015713	250.3812533	248.2859308	251.9845753	255.7466192	287.9271256	273.0838512	233.1251984	273.7275	294.9545	296.0586424	292.5264	325.0760359	367.7983611	352.329836	303.312015	258.4108386	268.8936501	345.2329346	327.4345177	328.1136503	326.7495126	335.7215549	367.1165021	386.4784471	349.0407014	410.0688952	432.7988064	478.4496606	516.2052139	531.2453863	548.2349213	598.2916449	544.7374037	524.6038527	548.212602
Austria	AUT	40	AUT040	229.5608113	265.7916614	314.445216	307.1883708	308.5014784	283.1235363	293.8603888	298.5702808	295.1871132	281.9666714	273.6476762	265.8573936	251.723522	246.8428254	246.5760712	230.6276642	232.239344	230.7914987	242.7978515	241.1631974	249.5033399	257.7382324	265.2913196	270.1842828	287.3693092	253.8333352	251.3061752	262.7654864	266.9962856	250.9903645	239.8591409	234.7584528	244.1996217	242.3066137	248.0706113	296.6877344	291.0633416	293.2334149	294.0261201	256.6597481	253.0229994	263.2072
Azerbaijan	AZE	31	AZE031																							40	30	25	9.8	17.3001808	25.058176	28.2398099	27.6899159	29.9118397	37.546606	59.401151	72.0029788	110.07125	133.4792047	149.6444388	160.5937138	185.3619614	152.344784	143.8469259	162.7527463
Bahamas	BHS	44	BHS044	41.7725	41.682	49.409	47.7725	39.7725	9.7554515	10.77501975	0	10.7959617	15.32918268	14.95340365	1.35273475	1.5731001	2.04886095	1.89068655	2.7565606	7.58531885	14.46736	15.766996	14.37910463	12.99121326	11.60332189	9.965430514	8.577539143	7.189647771	5.8017564	5.738438033	5.925119667	3.4510971	3.8348553	6.21952375	5.475993425	6.706138	2.42217635	1.48271185	2.928886175	2.7756375	2.878445825	2.46650645	3.1708795	2.53119935	2.7225685
Bahrain	BHR	48	BHR048	5.1004962	3.683378	5.75319355	3.5758459	7.42517585	7.23813015	15.6340834	19.17582465	29.90988275	5.708656	7.1338316	7.692906	19.5279552	33.43324685	30.7857384	28.09090135	22.725243	19.01832015	23.1902905	33.5557711	29.67987545	26.7508816	39.5754933	46.662009	46.4140553	42.22219325	34.8320648	35.05213358	39.17220235	36.69227113	34.5623399	33.83659915	41.4005839	45.3232479	46.767629	57.23002225	41.452706	45.60254638	79.70112497	124.9997036	90.09350175	57.679449
