Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	AFG	4	AFG004	115.0646457	110.678586	120.7666788	171.6176514	177.97376	179.08032	203.475104	238.8604462	154.76032	171.34656	61.90656	116.0672	106.12032	15.47968	135.97312	93.96032	105.01376	121.6	121.34464	121.6	136.192	136.192	139.84	139.84	139.84	139.84	141.056	141.056	141.056	141.056	60.8	30.4	36.48	42.56	42.56	36.48	60.8	36.48	45.3568	38.304	43.2896	46.208
Albania	ALB	8	ALB008	442.18624	442.18624	442.18624	631.21344	630.10688	792.61312	853.41312	914.21312	972.8	1028.0672	1218.21312	1340.91968	1011.49312	1022.54656	1047.97312	1039.1328	1039.1328	1044.65344	906.7712	916.864	912	729.6	243.2	243.2	243.2	243.2	818.9938606	876.4943078	1037.245527	1234.871986	1664.377871	1939.097279	1899.934954	2258.050247	2251.767907	2660.510652	2565.824717	2169.882236	2140.147329	2760.789561	1940.024856	2065.524143
Algeria	DZA	12	DZA012	1732.926843	1836.95706	2149.256188	2590.876917	3349.227005	3558.822568	4289.633509	4821.356359	5459.166005	5952.850468	6223.703923	6739.638931	8945.411628	9930.842311	10902.78193	10682.96227	11298.16922	11211.89418	9984.721819	10822.81937	9706.751527	9522.215487	9707.707587	9461.550879	9976.544177	10741.67128	10204.12984	9505.121704	9729.458359	9975.423118	11380.52411	11359.53925	12720.33508	15295.17897	15011.86767	15443.95307	18435.31798	19635.36726	21068.26409	22985.20341	26242.77821	25251.77058
American Samoa	ASM	16	ASM016																																										
Andorra	AND	20	AND020																										66.24684096	73.39710458	79.34465664	103.5394427	106.356866	126.3750557	130.9035297	139.5928942	117.4669048	211.0048204	168.1885812	125.3692534	124.4170002	88.83756858	49.61562963	42.44841862	46.84090733
Angola	AGO	24	AGO024	462.7250442	547.3374579	587.181669	612.5829702	663.7570243	551.6867676	144.6081597	170.8754719	317.636224	437.6384	192.187584	298.773632	287.8090951	237.0448782	391.9062613	384.0701422	369.9771876	359.0126507	1130.361714	270.7507769	211.14624	314.336	364.8	304	304	243.2	328.32	366.016	425.6	244.416	243.2	486.4	725.952	851.2	969.152	1599.04	1665.92	2462.325983	2164.48	5286.264977	4360.815642	5110.148339
Anguilla	AIA	660	AIA660																															1.854417024		0.001929792	0.141392832	0.01433056		0.000507072	0.026578112	0.000560576			
Antigua and Barbuda	ATG	28	ATG028				0	0	0		0.0254448	0.052191936			23.70740352	25.42541102	27.14341851	28.86142601	30.5794335	32.297441	34.01544849	35.73345599	37.45146348	39.16947098	40.88747847	42.60548597	44.32349346	46.04150096	47.75950845	49.47751595	51.19552344	52.91353094	54.63153843	60.51787341	50.51310597	40.50833853	30.5035711	20.49880366	10.49090016	117.553805	82.5641273	49.18073453	0.13197856	6.479454784	40.78115738
Argentina	ARG	32	ARG032	6139.835066	6770.872679	6622.326166	6306.917379	6574.191107	6692.738917	6953.301997	7099.49261	7692.768749	8361.609454	8976.246925	8034.171949	6584.004297	6762.28206	6272.817648	5538.65339	6709.610273	7640.82277	7298.657367	5342.683585	4332.840764	4120.126261	6121.267577	6742.578025	7602.048337	6434.746209	6119.38804	8468.468367	8906.105853	8977.835626	7722.282785	6949.845861	4614.2432	6106.060252	7391.354267	9057.01121	10774.07787	11736.6876	11803.39243	11127.7723	12334.87956	14387.79449
Armenia	ARM	51	ARM051																							486.4	243.2	121.6	277.248	342.912	267.9541059	364.8	301.6518675	239.984665	347.7529155	422.2033715	425.4089117	362.8293395	283.2581457	274.94748	288.0505099	441.0516585	424.7299325	549.1272202	395.9654805
Aruba	ABW	533	ABW533																			39.14912	64.248576	57.99050496	51.54829261	52.21347933	52.87866606	53.54385278	54.2090395	54.87422623	55.53941295	56.20459967	56.8697864	57.53497312	58.20015984	58.86534657	59.53053329	60.19572001	60.86090674	61.52609346	62.19128018	62.85646691	63.52153082	45.1092151	63.52032454
Australia	AUS	36	AUS036	5477.786212	5695.361709	5845.164911	6332.298919	6172.077074	5966.409984	6094.630214	6089.272079	6038.313836	6128.26487	6219.757779	7002.387695	6641.399261	5669.604825	6657.0528	7173.29344	7200.146183	7114.242048	7905.849192	8944.856142	8568.661612	7376.548205	6284.551594	6539.493569	8396.064969	7963.207469	7979.723975	7946.548146	8164.748214	8928.273331	9399.155833	8488.669857	9972.875531	10525.66697	11635.89574	12554.1108	12919.88779	13333.07328	14550.4528	13248.01366	12758.3657	13332.53048
Austria	AUT	40	AUT040	5582.918931	6464.053205	7647.307653	7470.821178	7502.755955	6885.564403	7146.684656	7261.229229	7178.950593	6857.429448	6655.111485	6465.651812	6121.916055	6003.217513	5996.730052	5608.864793	5648.060846	5612.849248	5904.843748	5865.088961	6067.921226	6268.193812	6451.884893	6570.881758	6988.8216	6173.226712	6111.766181	6390.456629	6493.349666	6104.085665	5833.374307	5709.325571	5938.9348	5892.896844	6033.077266	7215.445699	7078.660468	7131.436649	7150.71524	6241.965073	6153.519344	6401.199104
Azerbaijan	AZE	31	AZE031																							972.8	729.6	608	238.336	420.7403971	609.4148403	686.7921768	673.4187547	727.4559415	913.1334579	1444.635992	1751.112444	2676.9328	3246.214258	3639.35275	3905.63912	4508.0029	3705.025147	3498.357238	3958.146789
Bahamas	BHS	44	BHS044	1015.9072	1013.70624	1201.62688	1161.8272	967.2672	237.2525805	262.0484803	0	262.5577885	372.8057227	363.6667768	32.89850912	38.25779443	49.8282983	45.9814969	67.03955379	184.4749544	351.8461952	383.4533427	349.6998246	315.9463064	282.1927883	242.3592701	208.605752	174.8522338	141.0987156	139.558813	144.0989103	83.93068147	93.2636809	151.2588176	133.1761601	163.0932762	58.90732883	36.05955219	71.23051178	67.503504	70.00380246	59.98543686	77.11578944	61.55876819	66.21286592
Bahrain	BHR	48	BHR048	124.0440676	89.57975296	139.9176671	86.96457229	180.5802767	176.0313252	380.2209083	466.3560555	727.4083485	138.8345139	173.4947845	187.0914739	474.9198705	813.0965634	748.7091579	683.1707208	552.6779098	462.525546	563.987865	816.0763532	721.8145709	650.5814405	962.4759971	1134.820059	1128.789825	1026.84374	847.1158159	852.4678885	952.6679612	892.3560338	840.5561064	822.9060913	1006.8622	1102.261389	1137.388737	1391.834141	1008.12981	1109.053928	1938.331359	3039.99279	2191.073963	1402.7642
Bangladesh	BGD	50	BGD050		78.4928	27.63968	36.48	105.01376	205.61344	191.24032	805.0418463	412.33344	392.43968	409.01376	420.0672	397.96032	373.64032	332.74624	292.94656	357.7061478	380.1717953	2277.73855	2399.518208	2362.728128	2363.610944	2366.383395	2959.787776	3578.934838	4192.001899	4387.265208	5087.076027	9751.703488	7927.231424	10148.13701	10522.74305	11591.10376	10627.71127	11351.3773	15385.1399	14778.76873	14903.16509	14431.16449	14080.7639	16381.20808	16573.74454
Barbados	BRB	52	BRB052	66.05836582	68.33179456	67.91055027	60.23697619	52.13607418	45.81101734	43.13063962	52.82627213	56.57207379	81.61716122	77.94193862	80.79538963	125.2544606	0	200.0807373	265.30688	131.3676367	122.1683	107.1100078	131.6928	243.2	253.4089791	269.4065802	162.146743	159.6356106	159.3450145	241.7366486	224.277824	305.8692255	225.1205996	193.5796523	176.0488867	154.1023777	151.080974	148.1840473	302.914191	381.4289569	50.64606925	383.0604543	352.4291286	36.93431098	91.8388864
Belarus	BLR	112	BLR112																							2796.8	2310.4	1809.408	1501.76	1783.872	2281.216	2448.30942	2439.315398	1971.168419	1885.637178	1994.229658	2264.527126	2677.279843	2997.690877	3592.130443	4291.382718	4934.863787	5081.667035	5908.115485	5513.354031
Belgium	BEL	56	BEL056	6582.436525	6807.021477	7206.824679	7101.052232	7822.111778	7400.626576	7714.385336	7098.838499	6687.038951	6644.735498	6254.658321	5210.400772	5066.954641	4427.847999	4396.012322	4382.680623	4654.753016	4617.248949	5676.230605	5936.151013	6356.458865	6387.971203	6528.056037	6796.688142	7971.558625	7095.457202	6775.799714	7417.870127	5678.129783	6629.15571	7444.070058	7351.841799	6178.863785	6289.844619	7151.202116	7206.205418	7671.028271	7220.865258	7516.505602	6476.33824	7197.170038	8295.527712
Belize	BLZ	84	BLZ084						14.15934842	18.52989075	19.48039174	16.13575091	17.4670727	16.24772723	17.39896098	18.55019474	22.13968785	24.84431358	26.27955933	29.9000641	39.74758326	45.30328879	68.50461595	65.76167841	77.08864398	88.41560954	99.54417254	117.7991452	88.72139899	76.03557238	71.2040369	64.99962648	75.91237504	114.5360493	237.786771	231.3165607	188.0252041	109.5784375	96.57083366	101.6837537	104.1158109	271.1401828	124.5368459	87.71338225	197.0873052
Benin	BEN	204	BEN204	100.2203962	56.3010432	62.68435859	70.13490976	0	0	0	0	0	0	348.9091393	362.0492524	382.9231254	395.5026347	425.762784	456.0229333	486.2830826	516.5432319	423.5861012	515.1569705	606.2171198	660.7972691	751.8574184	986.4624069	729.101761	1080.850452	790.0556677	902.7771945	569.3848615	762.3080689	1004.992121	1604.079658	1251.971095	1357.469614	1058.263031	1217.653463	2426.038831	2333.076323	2318.671771	2441.104968	2520.603544	2793.715511
