Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	AFG	4	AFG004	229.1073357	220.3741714	240.4607589	341.7110671	354.366832	356.570124	405.1430278	475.5994345	308.146124	341.171292	123.263292	231.10354	211.298124	30.821876	270.738584	187.086124	209.094832	242.12	241.611548	242.12	271.1744	271.1744	278.438	278.438	278.438	278.438	280.8592	280.8592	280.8592	280.8592	121.06	60.53	72.636	84.742	84.742	72.636	121.06	72.636	90.31076	76.2678	86.19472	92.0056
Albania	ALB	8	ALB008	880.445168	880.445168	880.445168	1256.820708	1254.617416	1578.186584	1699.246584	1820.306584	1936.96	2047.00354	2425.606584	2669.929876	2014.002584	2036.011292	2086.638584	2069.03646	2069.03646	2080.028708	1805.48884	1825.5848	2461.38576	1703.74224	615.72784	711.35536	890.65696	878.70352	1869.782563	1948.412442	2256.533715	2661.984838	3505.228479	4052.227353	3794.948925	4687.300482	4866.046639	5775.529368	5563.091579	4667.142251	4452.541811	6879.673511	4524.242909	4519.12013
Algeria	DZA	12	DZA012	3450.46256	3657.599041	4279.423588	5158.742755	6668.707586	7086.037172	8541.1683	9599.89146	10869.846	11852.83022	12392.13153	13419.41923	17811.37388	19773.48306	21708.72994	21271.04296	27301.27574	27165.35223	24805.58082	26426.51853	23271.92697	22617.61131	22903.27396	22700.02937	22864.79433	24459.97364	23031.06178	21125.25588	21643.65736	22252.93673	25732.00527	26240.08018	29786.32663	34602.35628	34635.92193	35902.67209	42157.66987	46889.98433	51285.04537	54910.64353	58611.70918	55239.94317
American Samoa	ASM	16	ASM016																																										
Andorra	AND	20	AND020																										131.9053054	146.142327	157.9846074	206.1592916	211.7691152	251.6277013	260.6444293	277.9459831	233.8905179	420.1355849	334.8833823	249.62503	247.728981	176.8861193	98.79059413	84.51982827	93.26579344
Angola	AGO	24	AGO024	1163.995191	1293.022175	1491.891118	1422.933716	1584.594518	1337.542486	347.6991707	388.0470598	680.2650968	883.34332	418.5285588	642.7074424	608.922311	471.9844236	877.9515363	816.5273752	814.3657535	806.4797421	2368.226191	718.3984594	603.703248	765.337	881.75472	764.6792	768.66368	633.658	689.58432	812.45528	931.09408	570.33528	615.72784	1088.0144	1564.9908	1814.3744	2085.09112	3291.45896	3580.01968	5297.246144	4960.003136	11455.55721	9976.262564	11317.65936
Anguilla	AIA	660	AIA660																															3.692363897		0.003842444	0.281529872	0.028533842		0.00100964	0.052920168	0.001116173			
Antigua and Barbuda	ATG	28	ATG028				0	0	0		0.05066361	0.103920325			47.20424786	50.62500424	54.04576061	57.46651698	60.88727335	64.30802972	67.72878609	71.14954246	74.57029883	77.9910552	81.41181157	84.83256795	88.25332432	91.67408069	95.09483706	98.51559343	101.9363498	105.3571062	108.7778625	120.4982525	100.5775758	80.65689906	60.73622232	40.81554558	20.88862456	234.0635466	164.3949548	97.92466648	0.262784942	12.90136178	81.20011368
Argentina	ARG	32	ARG032	21639.66805	22135.89988	20752.36314	19120.25793	18863.50454	18561.64247	19295.61633	20578.83468	22011.13997	24693.61973	25403.43781	23360.30681	18751.55592	18066.57878	16733.39397	15403.07383	18176.86493	20831.89977	19588.79625	14092.45986	10922.25954	10821.46266	15056.99423	18768.45899	21250.76304	17964.27435	17671.05521	23926.2064	27606.65286	26745.38638	21759.11647	18535.66804	12988.69856	17883.58681	22427.03044	25994.5729	29329.78187	31497.47407	30112.20442	29818.86746	32114.77998	36716.37466
Armenia	ARM	51	ARM051																					0	0	968.48	484.24	242.12	552.0336	682.7784	533.5283563	726.36	600.6245902	477.8378872	692.4172359	840.6569105	847.0395205	722.4361815	910.6502717	929.9630723	1003.866516	1356.323682	1323.825193	1475.887404	1147.017362
