"AlphaNumISO","Year","CCC","UsedValue"
"AGO024",1970,"A.2.1.Fe",6091
"ALB008",1970,"A.2.1.Fe",540
"ARG032",1970,"A.2.1.Fe",239
"AUS036",1970,"A.2.1.Fe",51189
"AUT040",1970,"A.2.1.Fe",3997
"AZE031",1970,"A.2.1.Fe",0
"BEL056",1970,"A.2.1.Fe",93
"BGR100",1970,"A.2.1.Fe",2409
"BIH070",1970,"A.2.1.Fe",0
"BOL068",1970,"A.2.1.Fe",0
"BRA076",1970,"A.2.1.Fe",36381
"BTN064",1970,"A.2.1.Fe",0
"CAN124",1970,"A.2.1.Fe",47458
"CHL152",1970,"A.2.1.Fe",11265
"CHN156",1970,"A.2.1.Fe",44000
"COL170",1970,"A.2.1.Fe",453
"CSK200",1970,"A.2.1.Fe",1606
"CUB192",1970,"A.2.1.Fe",0
"DEU276",1970,"A.2.1.Fe",5953
"DZA012",1970,"A.2.1.Fe",2863
"ECU218",1970,"A.2.1.Fe",0
"EGY818",1970,"A.2.1.Fe",451
"ESP724",1970,"A.2.1.Fe",7051
"FIN246",1970,"A.2.1.Fe",585
"FRA250",1970,"A.2.1.Fe",56805
"GBR826",1970,"A.2.1.Fe",12018
"GRC300",1970,"A.2.1.Fe",873
"GTM320",1970,"A.2.1.Fe",0
"HKG344",1970,"A.2.1.Fe",170
"HUN348",1970,"A.2.1.Fe",629
"IDN360",1970,"A.2.1.Fe",0
"IND356",1970,"A.2.1.Fe",31366
"IRN364",1970,"A.2.1.Fe",0
"IRQ368",1970,"A.2.1.Fe",0
"ITA380",1970,"A.2.1.Fe",757
"JPN392",1970,"A.2.1.Fe",1574
"KAZ398",1970,"A.2.1.Fe",0
"KEN404",1970,"A.2.1.Fe",0
"KOR410",1970,"A.2.1.Fe",635
"LBR430",1970,"A.2.1.Fe",22294
"LUX442",1970,"A.2.1.Fe",5722
"MAR504",1970,"A.2.1.Fe",872
"MEX484",1970,"A.2.1.Fe",4812
"MKD807",1970,"A.2.1.Fe",0
"MLI466",1970,"A.2.1.Fe",0
"MNG496",1970,"A.2.1.Fe",0
"MRT478",1970,"A.2.1.Fe",9103
"MYS458",1970,"A.2.1.Fe",4491
"NGA566",1970,"A.2.1.Fe",0
"NOR578",1970,"A.2.1.Fe",4008
"NZL554",1970,"A.2.1.Fe",142
"PAK586",1970,"A.2.1.Fe",0
"PER604",1970,"A.2.1.Fe",12585
"PHL608",1970,"A.2.1.Fe",1872
"POL616",1970,"A.2.1.Fe",2553
"PRK408",1970,"A.2.1.Fe",8000
"PRT620",1970,"A.2.1.Fe",126
"ROU642",1970,"A.2.1.Fe",3206
"RUS643",1970,"A.2.1.Fe",0
