IEA_Code;Country2;ISO_alpha-3;CountryGROUP;Product2;CommodityID;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
AGO;Angola;AGO;Other;Anthracite (kt);327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO;Angola;AGO;Other;Brown coal (if no detail) (kt);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
AGO;Angola;AGO;Other;Coking coal (kt);328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO;Angola;AGO;Other;Crude oil (kt);3;5171;5721;7057;8154;8541;7791;7564;7062;6469;7200;7428;6382;6412;8800;10078;11430;13894;17705;22270;22297;23337;24479;27122;24849;27116;30371;33548;35149;36382;36853;36825;36469;44045;43733;49443;62314;70494;84908;95302;90448;87880;80900;85433;85778;83584;88767
AGO;Angola;AGO;Other;Crude/NGL/feedstocks (if no detail) (kt);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
AGO;Angola;AGO;Other;Hard coal (if no detail) (kt);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
AGO;Angola;AGO;Other;Lignite (kt);326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO;Angola;AGO;Other;Natural gas (TJ-gross);4;1488;1678;2223;2536;2654;2536;2210;2758;2758;2758;3001;3499;3499;3997;4499;4499;4997;5998;6098;6500;20520;22040;21660;21280;21280;21280;21280;21660;22040;21280;21660;20140;22800;24700;28500;24700;25840;31540;25840;26220;28120;28500;28880;35340;28120;25308
AGO;Angola;AGO;Other;Natural gas liquids (kt);5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;132;624;683;683;624;535;566;568;677;520;492
AGO;Angola;AGO;Other;Oil shale and oil sands (kt);349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AGO;Angola;AGO;Other;Other bituminous coal (kt);329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO;Angola;AGO;Other;Other hydrocarbons (kt);350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO;Angola;AGO;Other;Peat (kt);6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AGO;Angola;AGO;Other;Sub-bituminous coal (kt);330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALB;Albania;ALB;Other;Anthracite (kt);327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALB;Albania;ALB;Other;Brown coal (if no detail) (kt);2;643;675;740;811;850;895;900;950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ALB;Albania;ALB;Other;Coking coal (kt);328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALB;Albania;ALB;Other;Crude oil (kt);3;1552;1657;2150;2107;1770;1850;1950;2000;2200;2000;2000;1200;1100;1200;1388;1188;1205;1182;1167;1128;1067;845;585;568;535;521;489;360;365;328;314;308;371;360;443;418;500;564;578;577;744;895;1031;1207;1368;1425
ALB;Albania;ALB;Other;Crude/NGL/feedstocks (if no detail) (kt);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ALB;Albania;ALB;Other;Hard coal (if no detail) (kt);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ALB;Albania;ALB;Other;Lignite (kt);326;643;675;740;811;850;895;900;950;1200;1400;1420;1540;1700;1850;2010;2150;2167;2134;2184;2193;2071;1087;366;214;169;80;113;39;49;49;30;21;15;58;58;45;45;45;61;10;10;5;5;3;0;4
ALB;Albania;ALB;Other;Natural gas (TJ-gross);4;4360;4914;5655;7413;7919;11694;13661;13661;13804;14356;14997;14997;14997;14997;14997;14997;14997;14997;15997;12997;9453;5500;3984;3184;2027;1077;894;711;644;628;419;327;544;502;385;419;419;670;335;342;538;559;615;678;1155;1335
ALB;Albania;ALB;Other;Natural gas liquids (kt);5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALB;Albania;ALB;Other;Oil shale and oil sands (kt);349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ALB;Albania;ALB;Other;Other bituminous coal (kt);329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALB;Albania;ALB;Other;Other hydrocarbons (kt);350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;95;39;7;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALB;Albania;ALB;Other;Peat (kt);6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ALB;Albania;ALB;Other;Sub-bituminous coal (kt);330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARE;United Arab Emirates;ARE;Other;Anthracite (kt);327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARE;United Arab Emirates;ARE;Other;Brown coal (if no detail) (kt);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ARE;United Arab Emirates;ARE;Other;Coking coal (kt);328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARE;United Arab Emirates;ARE;Other;Crude oil (kt);3;45781;50892;57770;73617;80630;81413;93527;96006;87926;87936;81749;72161;59985;55191;51348;48639;55940;61123;64908;78838;87407;100578;107620;103720;104066;103215;103816;108630;110235;98448;107434;102792;96118;108020;112922;114267;123397;121523;123937;107712;111672;123235;127806;134378;134256;140144
ARE;United Arab Emirates;ARE;Other;Crude/NGL/feedstocks (if no detail) (kt);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ARE;United Arab Emirates;ARE;Other;Hard coal (if no detail) (kt);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ARE;United Arab Emirates;ARE;Other;Lignite (kt);326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARE;United Arab Emirates;ARE;Other;Natural gas (TJ-gross);4;38836;40750;40474;48782;46752;64740;75660;152100;222690;238290;293280;345540;370500;326040;429000;515970;593580;658710;677040;794820;784290;928590;864630;896610;1047540;1221480;1318200;1416090;1425450;1464060;1436370;1666860;1659060;1698840;1756560;1863810;1902810;1895254;1891486;1838735;1932933;1970612;2045970;2057273;2042202;2213754
ARE;United Arab Emirates;ARE;Other;Natural gas liquids (kt);5;0;0;0;0;0;0;0;84;139;556;678;1584;1944;2996;2760;2753;3462;3665;3014;3674;4286;4855;5720;6317;5023;5606;5896;6116;7509;10456;13403;14434;14500;15546;17053;18676;18328;18537;18413;18258;18085;19229;19362;19737;19063;19924
ARE;United Arab Emirates;ARE;Other;Oil shale and oil sands (kt);349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ARE;United Arab Emirates;ARE;Other;Other bituminous coal (kt);329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARE;United Arab Emirates;ARE;Other;Other hydrocarbons (kt);350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARE;United Arab Emirates;ARE;Other;Peat (kt);6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ARE;United Arab Emirates;ARE;Other;Sub-bituminous coal (kt);330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARG;Argentina;ARG;Other;Anthracite (kt);327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARG;Argentina;ARG;Other;Brown coal (if no detail) (kt);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ARG;Argentina;ARG;Other;Coking coal (kt);328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
