country;commodity;year;unit;value;source;comment;include
Albania;Bauxite;1995;ton;1548;reported;;
Albania;Bauxite;1996;ton;3380;reported;;
Albania;Bauxite;1997;ton;4453;reported;;
Albania;Bauxite;1998;ton;4128;reported;;
Albania;Bauxite;1999;ton;4624;reported;;
Albania;Bauxite;2000;ton;5000;reported;;
Albania;Salt, all sources;1996;ton;10000;reported;;
Albania;Salt, all sources;1997;ton;10000;reported;;
Albania;Salt, all sources;1998;ton;10000;reported;;
Albania;Salt, all sources;1999;ton;10000;reported;;
Albania;Salt, all sources;2000;ton;10000;reported;;
Albania;Hydraulic cement;1996;ton;200000;reported;;
Albania;Hydraulic cement;1997;ton;150000;reported;;
Albania;Hydraulic cement;1998;ton;150000;reported;;
Albania;Hydraulic cement;1999;ton;150000;reported;;
Albania;Hydraulic cement;2000;ton;200000;reported;;
Albania;Ceramic clay;1995;ton;500;reported;;
Albania;Ceramic clay;1996;ton;500;reported;;
Albania;Ceramic clay;1997;ton;500;reported;;
Albania;Ceramic clay;1998;ton;500;reported;;
Albania;Ceramic clay;1999;ton;500;reported;;
Albania;Ceramic clay;2000;ton;500;reported;;
Albania;Lime;2000;ton;50000;reported;;
Albania;Crushed and brown stone;1999;ton;242298;reported;;
Albania;Crushed and brown stone;2000;ton;624864;reported;;
Albania;Crushed and brown stone;2001;ton;516148;reported;;
Albania;Crushed and brown stone;2002;ton;770326;reported;;
Albania;Sand and gravel;1995;ton;1200000;reported;;
Albania;Sand and gravel;1996;ton;1300000;reported;;
Albania;Sand and gravel;1997;ton;1400000;reported;;
Albania;Sand and gravel;1998;ton;1600000;reported;;
Albania;Sand and gravel;1999;ton;1900000;reported;;
Albania;Sand and gravel;2000;ton;2300000;reported;;
Albania;Sand and gravel;2001;ton;2900000;reported;;
Albania;Sand and gravel;2002;ton;3100000;reported;;
Albania;Sand and gravel;2003;ton;3600000;reported;;
Albania;Kaolin;1996;ton;500;reported;;
Albania;Kaolin;1997;ton;500;reported;;
Albania;Kaolin;1998;ton;500;reported;;
Albania;Kaolin;1999;ton;500;reported;;
Albania;Kaolin;2000;ton;500;reported;;
Albania;Limestone;2000;cm;516148;reported;;
Albania;Quartzites and Sandstones;2000;metric tons;15324;reported;;
Albania;Clays;2000;metric tons;134056;reported;;
Algeria;Clays;2007;tonne;9528619;reported;;
Algeria;Natural sand for construction;2007;cm;2430108;reported;;
Algeria;Siliceous sand;2007;cm;288106;reported;;
Algeria;Sand and gravel;2007;cm;122461;reported;;
Algeria;Shists;2007;tonne;30129;reported;;
Algeria;Tuff;2007;cm;1729069;reported;;
Algeria;Limestone Aggregate;2008;cm;32817310;reported;"not sure if ""Limestone aggregate"" is the right classification";
Algeria;Limestone for cement;2007;tonne;19855418;reported;;
Algeria;Limestone for lime;2007;tonne;92600;reported;;
Algeria;Limestone for freestone;2007;cm;11712;reported;;
Algeria;Castine;2007;tonne;250000;reported;;
