Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,205482,,,,205482,,55618,,,0
H5,2018,2018,2018,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,216808,,,,216808,,45081,,,0
H5,2019,2019,2019,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,225535,,,,225535,,51384,,,0
H5,2020,2020,2020,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,326668,,,,326668,,88045,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,1442567,,,,1442567,,689252,,,0
H5,2017,2017,2017,6,1,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,3849,,,,3849,,387,,,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,172622035,,,,172622035,,1357823,,,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,189486512,,,,189486512,,1600310,,,0
H5,2018,2018,2018,6,1,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,14040,,,,14040,,16,,,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,1303922,,,,1303922,,1182541,,,0
H5,2018,2018,2018,6,1,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,80797,,,,80797,,11759,,,6
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,847723,,,,847723,,329719,,,0
H5,2019,2019,2019,6,1,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,43678,,,,43678,,14281,,,0
H4,2017,2017,2017,6,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",8,Weight in kilograms,24062577,,,,2422155,,1124945,,,0
