Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",1,No Quantity,0,,,,0,,137533,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,480139,,,,480139,,102711,,,0
H5,2019,2019,2019,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",1,No Quantity,0,,,,0,,113020,,,0
H5,2020,2020,2020,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",1,No Quantity,0,,,,0,,266648,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,43992954,,,,43992954,,3969177,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,4624,,,,4624,,3363,,,6
H5,2017,2017,2017,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,172860485,,,,172860485,,1414200,,,0
H5,2017,2017,2017,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,9,,,,9,,924,,,0
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,189883375,,,,189883375,,1733063,,,0
H5,2018,2018,2018,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,14040,,,,14040,,16,,,0
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,1528060,,,,1528060,,1374698,,,0
H5,2018,2018,2018,4,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,211807,,,,211807,,21522,,,6
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,1610855,,,,1610855,,687100,,,0
H5,2019,2019,2019,4,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,45976,,,,45976,,18179,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,24459057,,,,2805510,,1380490,,,0
H4,2017,2017,2017,4,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,26571,,,,11986,,3006,,,0
H3,2017,2017,2017,4,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,2505,"Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.",8,Weight in kilograms,4063222,,,,4063222,,234174,,,0
H3,2018,2018,2018,4,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,2505,"Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.",8,Weight in kilograms,65469,,,,65469,,447161,,,0
H3,2019,2019,2019,4,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,2505,"Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.",8,Weight in kilograms,237907,,,,237907,,1323745,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,26379835,,,,26379835,,2359521,,,0
H5,2018,2018,2018,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,27492,,,,27492,,16288,,,0
H5,2019,2019,2019,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,26110423,,,,26110423,,3237060,,,0
H5,2020,2020,2020,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",8,Weight in kilograms,32810234,,,,32810234,,2364252,,,0
