"Country or Area Code";"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"12";"Algeria";"2015";"Thousand metric tons";"0";""
"12";"Algeria";"2014";"Thousand metric tons";"0";""
"12";"Algeria";"2013";"Thousand metric tons";"0";""
"12";"Algeria";"2012";"Thousand metric tons";"49.7";""
"12";"Algeria";"2011";"Thousand metric tons";"121";""
"12";"Algeria";"2010";"Thousand metric tons";"127.4";""
"12";"Algeria";"2009";"Thousand metric tons";"164.9";""
"12";"Algeria";"2008";"Thousand metric tons";"167";""
"12";"Algeria";"2007";"Thousand metric tons";"219.1";""
"12";"Algeria";"2006";"Thousand metric tons";"302.8";""
"12";"Algeria";"2005";"Thousand metric tons";"1147.5";""
"12";"Algeria";"2004";"Thousand metric tons";"1300.1";""
"12";"Algeria";"2003";"Thousand metric tons";"1282";""
"12";"Algeria";"2002";"Thousand metric tons";"1430";""
"12";"Algeria";"2001";"Thousand metric tons";"1428";""
"12";"Algeria";"2000";"Thousand metric tons";"1525";""
"12";"Algeria";"1999";"Thousand metric tons";"1568";""
"12";"Algeria";"1998";"Thousand metric tons";"1586";""
"12";"Algeria";"1997";"Thousand metric tons";"1502";""
"12";"Algeria";"1996";"Thousand metric tons";"1567";""
"12";"Algeria";"1995";"Thousand metric tons";"1488";""
"24";"Angola";"2016";"Million units";"488.8";""
"24";"Angola";"2015";"Million units";"688.541";""
"24";"Angola";"2014";"Million units";"521.153";""
"24";"Angola";"2013";"Million units";"461.5507";""
"24";"Angola";"2012";"Million units";"433.9496";""
"24";"Angola";"2011";"Million units";"406.3485";""
"24";"Angola";"2010";"Million units";"378.7474";""
"24";"Angola";"2009";"Million units";"351.1463";""
"24";"Angola";"2008";"Million units";"323.5452";""
"24";"Angola";"2007";"Million units";"295.9441";""
"24";"Angola";"2006";"Million units";"268.343";""
"24";"Angola";"2005";"Million units";"199.325";""
"24";"Angola";"2004";"Million units";"255.036";""
"32";"Argentina";"2016";"Million units";"713.128";""
"32";"Argentina";"2015";"Million units";"728.84";""
"32";"Argentina";"2014";"Million units";"636.906";""
"32";"Argentina";"2013";"Million units";"621.121";""
"32";"Argentina";"2012";"Million units";"575.353";""
"32";"Argentina";"2011";"Million units";"536.529";""
"32";"Argentina";"2010";"Million units";"439.954";""
"32";"Argentina";"2009";"Million units";"376.7918";""
"32";"Argentina";"2008";"Million units";"432.2259";""
"32";"Argentina";"2007";"Million units";"389.369";""
"32";"Argentina";"2006";"Million units";"355.3021";""
"32";"Argentina";"2005";"Million units";"280.6809";""
"32";"Argentina";"2004";"Million units";"197.044";""
"32";"Argentina";"2003";"Million units";"206.6191";""
"32";"Argentina";"2002";"Million units";"139.1876";""
"32";"Argentina";"2001";"Million units";"183.3374";""
"32";"Argentina";"2000";"Million units";"199.8456";""
"36";"Australia";"2010";"Million units";"1424.24";"1"
"36";"Australia";"2009";"Million units";"1369.29";"1"
"36";"Australia";"2008";"Million units";"1458.76";"1"
"36";"Australia";"2007";"Million units";"1569.67";"1"
"36";"Australia";"2006";"Million units";"1605.449";"1"
"36";"Australia";"2005";"Million units";"1705";"1"
"36";"Australia";"2004";"Million units";"1789";"1"
"36";"Australia";"2003";"Million units";"1733";"1"
"36";"Australia";"2002";"Million units";"1602";"1"
"36";"Australia";"2001";"Million units";"1519";"1"
"36";"Australia";"2000";"Million units";"1710";"1"
"36";"Australia";"1999";"Million units";"1609";"1"
"36";"Australia";"1998";"Million units";"1532";"1"
"36";"Australia";"1997";"Million units";"1468";"1"
"36";"Australia";"1996";"Million units";"1455";"1"
"36";"Australia";"1995";"Million units";"1860";""
"40";"Austria";"2016";"Mil. USD";"146.076292734501";"2"
"40";"Austria";"2016";"Thousand cubic metres";"1804.363";"2"
"40";"Austria";"1995";"Million units";"211";""
"31";"Azerbaijan";"2016";"Mil. USD";"8.64812523280965";""
"31";"Azerbaijan";"2016";"Thousand cubic metres";"234.1";""
"31";"Azerbaijan";"2015";"Mil. USD";"18.3492718085139";""
"31";"Azerbaijan";"2015";"Thousand cubic metres";"280.6";""
"31";"Azerbaijan";"2014";"Mil. USD";"30.4711878344739";""
"31";"Azerbaijan";"2014";"Thousand cubic metres";"426.1";""
"31";"Azerbaijan";"2013";"Mil. USD";"24.982758232257";""
"31";"Azerbaijan";"2013";"Thousand cubic metres";"427.9";""
"31";"Azerbaijan";"2012";"Mil. USD";"14.3830798132637";""
"31";"Azerbaijan";"2012";"Thousand cubic metres";"203.8";""
"31";"Azerbaijan";"2011";"Mil. USD";"17.6019244095608";""
"31";"Azerbaijan";"2011";"Thousand cubic metres";"235.7";""
"31";"Azerbaijan";"2010";"Mil. USD";"19.9340722091001";""
"31";"Azerbaijan";"2010";"Thousand cubic metres";"271.6";""
"31";"Azerbaijan";"2009";"Mil. USD";"15.3026313061148";""
"31";"Azerbaijan";"2009";"Thousand cubic metres";"256.1";""
"31";"Azerbaijan";"2008";"Mil. USD";"12.0493720631878";""
"31";"Azerbaijan";"2008";"Thousand cubic metres";"263.4";""
"31";"Azerbaijan";"2007";"Mil. USD";"12.1194632989907";""
"31";"Azerbaijan";"2007";"Million units";"0";""
"31";"Azerbaijan";"2007";"Thousand cubic metres";"334.7";""
"31";"Azerbaijan";"2006";"Mil. USD";"7.83484154032985";""
"31";"Azerbaijan";"2006";"Million units";"0";""
"31";"Azerbaijan";"2006";"Thousand cubic metres";"268.5";""
"31";"Azerbaijan";"2005";"Mil. USD";"4.20976475030701";""
"31";"Azerbaijan";"2005";"Million units";"0";""
"31";"Azerbaijan";"2005";"Thousand cubic metres";"158.1";""
"31";"Azerbaijan";"2004";"Mil. USD";"2.3405012030685";""
"31";"Azerbaijan";"2004";"Million units";"53.118";""
