"Country or Area Code";"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"4";"Afghanistan";"2016";"Mil. USD";"10.0654103187127";""
"4";"Afghanistan";"2016";"Thousand metric tons";"186.3";""
"4";"Afghanistan";"2015";"Mil. USD";"8.24290917304843";""
"4";"Afghanistan";"2015";"Thousand metric tons";"100.8";""
"4";"Afghanistan";"2014";"Mil. USD";"4.5312022359055";""
"4";"Afghanistan";"2014";"Thousand metric tons";"70.1";""
"4";"Afghanistan";"2013";"Mil. USD";"5.81283012053632";""
"4";"Afghanistan";"2013";"Thousand metric tons";"87";""
"4";"Afghanistan";"2012";"Mil. USD";"5.14518472493919";""
"4";"Afghanistan";"2012";"Thousand metric tons";"70.8";""
"4";"Afghanistan";"2011";"Mil. USD";"2.82584922633806";""
"4";"Afghanistan";"2011";"Thousand metric tons";"35.7";""
"4";"Afghanistan";"2010";"Mil. USD";"2.83357836984975";""
"4";"Afghanistan";"2010";"Thousand metric tons";"35.6";""
"4";"Afghanistan";"2009";"Mil. USD";"2.74319840743199";""
"4";"Afghanistan";"2009";"Thousand metric tons";"37.3";""
"4";"Afghanistan";"2008";"Mil. USD";"3.28557133323476";""
"4";"Afghanistan";"2008";"Thousand metric tons";"44.6";""
"4";"Afghanistan";"2007";"Mil. USD";"2.27172570414579";""
"4";"Afghanistan";"2007";"Thousand metric tons";"28.4";""
"4";"Afghanistan";"2006";"Mil. USD";"2.14720660255348";""
"4";"Afghanistan";"2006";"Thousand metric tons";"29.8";""
"4";"Afghanistan";"2005";"Mil. USD";"0.996068308263341";""
"4";"Afghanistan";"2005";"Thousand metric tons";"15.2";""
"4";"Afghanistan";"2004";"Mil. USD";"1.30211292903563";""
"4";"Afghanistan";"2004";"Thousand metric tons";"24";""
"4";"Afghanistan";"2003";"Mil. USD";"1.27761447871339";""
"4";"Afghanistan";"2003";"Thousand metric tons";"24";""
"4";"Afghanistan";"2002";"Thousand metric tons";"27";"1"
"4";"Afghanistan";"2001";"Thousand metric tons";"16";"1"
"4";"Afghanistan";"2000";"Thousand metric tons";"25";"1"
"4";"Afghanistan";"1999";"Thousand metric tons";"116";"1"
"4";"Afghanistan";"1998";"Thousand metric tons";"116";"1"
"4";"Afghanistan";"1997";"Thousand metric tons";"116";"1"
"4";"Afghanistan";"1996";"Thousand metric tons";"116";"1"
"4";"Afghanistan";"1995";"Thousand metric tons";"115";"1"
"8";"Albania";"2009";"Mil. USD";"97.2939874728572";""
"8";"Albania";"2009";"Thousand metric tons";"1108.3";""
"8";"Albania";"2007";"Mil. USD";"49.721383629695";""
"8";"Albania";"2007";"Thousand metric tons";"552.7";""
"8";"Albania";"2006";"Mil. USD";"27.7808988926492";""
"8";"Albania";"2006";"Thousand metric tons";"355.7";""
"8";"Albania";"2005";"Mil. USD";"31.9564620776088";""
"8";"Albania";"2005";"Thousand metric tons";"472.9";""
"8";"Albania";"2004";"Mil. USD";"36.6802697228119";""
"8";"Albania";"2004";"Thousand metric tons";"529.6";""
"8";"Albania";"2003";"Thousand metric tons";"578";""
"8";"Albania";"2002";"Thousand metric tons";"50";"1"
"8";"Albania";"2001";"Thousand metric tons";"30";"1"
"8";"Albania";"2000";"Thousand metric tons";"180";"1"
"8";"Albania";"1999";"Thousand metric tons";"107";"1"
"8";"Albania";"1998";"Thousand metric tons";"84";"1"
"8";"Albania";"1997";"Thousand metric tons";"100";"1"
"8";"Albania";"1996";"Thousand metric tons";"150";"1"
"8";"Albania";"1995";"Thousand metric tons";"200";"1"
"12";"Algeria";"2015";"Thousand metric tons";"12143.6";""
"12";"Algeria";"2014";"Thousand metric tons";"11555.3";""
"12";"Algeria";"2013";"Thousand metric tons";"11398.9";""
"12";"Algeria";"2012";"Thousand metric tons";"11116.1";""
"12";"Algeria";"2011";"Thousand metric tons";"11274.8";""
"12";"Algeria";"2010";"Thousand metric tons";"11274.5";""
"12";"Algeria";"2009";"Thousand metric tons";"11552.7";""
"12";"Algeria";"2008";"Thousand metric tons";"11478.3";""
"12";"Algeria";"2007";"Thousand metric tons";"11617.1";""
"12";"Algeria";"2006";"Thousand metric tons";"10801.6";""
"12";"Algeria";"2005";"Thousand metric tons";"10453";""
"12";"Algeria";"2004";"Thousand metric tons";"9535.7";""
"12";"Algeria";"2003";"Thousand metric tons";"8191.7";""
"12";"Algeria";"2002";"Thousand metric tons";"8940.9";""
"12";"Algeria";"2001";"Thousand metric tons";"8710.2";""
"12";"Algeria";"2000";"Thousand metric tons";"8703";""
"12";"Algeria";"1999";"Thousand metric tons";"7685.3";""
"12";"Algeria";"1998";"Thousand metric tons";"7836";"1"
"12";"Algeria";"1997";"Thousand metric tons";"7146";"1"
"12";"Algeria";"1996";"Thousand metric tons";"7470";"1"
"12";"Algeria";"1995";"Thousand metric tons";"6783";"1"
"24";"Angola";"2016";"Thousand metric tons";"16919.49";""
"24";"Angola";"2015";"Thousand metric tons";"18193";""
"24";"Angola";"2014";"Thousand metric tons";"19255";""
"24";"Angola";"2013";"Thousand metric tons";"18591.9";""
"24";"Angola";"2012";"Thousand metric tons";"17879.7";""
"24";"Angola";"2011";"Thousand metric tons";"17167.5";""
"24";"Angola";"2010";"Thousand metric tons";"16455.3";""
"24";"Angola";"2009";"Thousand metric tons";"15743.1";""
"24";"Angola";"2008";"Thousand metric tons";"15030.9";""
"24";"Angola";"2007";"Thousand metric tons";"14318.7";""
"24";"Angola";"2006";"Thousand metric tons";"13606.5";""
"24";"Angola";"2005";"Thousand metric tons";"11030";""
"24";"Angola";"2004";"Thousand metric tons";"14755";""
"24";"Angola";"2003";"Thousand metric tons";"250";"2"
"24";"Angola";"2002";"Thousand metric tons";"250";"2,3"
"24";"Angola";"2001";"Thousand metric tons";"200";"2,3"
"24";"Angola";"2000";"Thousand metric tons";"201";"2"
"24";"Angola";"1999";"Thousand metric tons";"207";"2"
"24";"Angola";"1998";"Thousand metric tons";"350";"2,3"
"24";"Angola";"1997";"Thousand metric tons";"301";"2"
"24";"Angola";"1996";"Thousand metric tons";"270";"2,3"
"24";"Angola";"1995";"Thousand metric tons";"200";"2,3"
