"Country or Area Code";"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"12";"Algeria";"2015";"Thousand metric tons";"0";""
"12";"Algeria";"2014";"Thousand metric tons";"0";""
"12";"Algeria";"2013";"Thousand metric tons";"0";""
"12";"Algeria";"2012";"Thousand metric tons";"0";""
"12";"Algeria";"2011";"Thousand metric tons";"0";""
"12";"Algeria";"2010";"Thousand metric tons";"0";""
"12";"Algeria";"2009";"Thousand metric tons";"0";""
"12";"Algeria";"2008";"Thousand metric tons";"0";""
"12";"Algeria";"2007";"Thousand metric tons";"0";""
"12";"Algeria";"2006";"Thousand metric tons";"11.4";""
"12";"Algeria";"2005";"Thousand metric tons";"60.9";""
"12";"Algeria";"2004";"Thousand metric tons";"51.71";""
"12";"Algeria";"2003";"Thousand metric tons";"57.07";""
"12";"Algeria";"2002";"Thousand metric tons";"46";""
"12";"Algeria";"2001";"Thousand metric tons";"39";""
"12";"Algeria";"2000";"Thousand metric tons";"35";""
"12";"Algeria";"1999";"Thousand metric tons";"29";""
"12";"Algeria";"1998";"Thousand metric tons";"25";""
"12";"Algeria";"1997";"Thousand metric tons";"19.8";""
"12";"Algeria";"1996";"Thousand metric tons";"24";""
"12";"Algeria";"1995";"Thousand metric tons";"20";""
"24";"Angola";"2016";"Million units";"511.6";""
"24";"Angola";"2015";"Million units";"512.241";""
"24";"Angola";"2014";"Million units";"492.522";""
"24";"Angola";"2013";"Million units";"493.066666667";""
"24";"Angola";"2012";"Million units";"462.591666667";""
"24";"Angola";"2011";"Million units";"432.116666667";""
"24";"Angola";"2010";"Million units";"401.641666667";""
"24";"Angola";"2009";"Million units";"371.166666667";""
"24";"Angola";"2008";"Million units";"340.691666667";""
"24";"Angola";"2007";"Million units";"310.216666667";""
"24";"Angola";"2006";"Million units";"279.741666667";""
"24";"Angola";"2005";"Million units";"249.266666667";""
"24";"Angola";"2004";"Million units";"188.95";""
"36";"Australia";"2010";"Thousand square metres";"2149";"1"
"36";"Australia";"2009";"Thousand square metres";"2158";"1"
"36";"Australia";"2008";"Thousand square metres";"2743";"1"
"36";"Australia";"2007";"Thousand square metres";"3209";"1"
"36";"Australia";"2006";"Thousand square metres";"3261";"1"
"36";"Australia";"2005";"Thousand square metres";"3787";"1"
"36";"Australia";"2004";"Thousand square metres";"4192";"1"
"31";"Azerbaijan";"1999";"Thousand square metres";"0";""
"31";"Azerbaijan";"1998";"Thousand square metres";"0";""
"31";"Azerbaijan";"1997";"Thousand square metres";"0";""
"31";"Azerbaijan";"1996";"Thousand square metres";"0";""
"31";"Azerbaijan";"1995";"Thousand square metres";"0";""
"68";"Bolivia (Plurinational State of)";"1999";"Mil. USD";"0.860228620092934";""
"68";"Bolivia (Plurinational State of)";"1999";"Million units";"8.498";""
"68";"Bolivia (Plurinational State of)";"1998";"Mil. USD";"1.81483811644001";""
"68";"Bolivia (Plurinational State of)";"1998";"Million units";"8.196";""
"68";"Bolivia (Plurinational State of)";"1997";"Mil. USD";"2.85482727501979";""
"68";"Bolivia (Plurinational State of)";"1997";"Million units";"12.351";""
"68";"Bolivia (Plurinational State of)";"1996";"Mil. USD";"2.75883133933872";""
"68";"Bolivia (Plurinational State of)";"1996";"Million units";"11.993";""
"68";"Bolivia (Plurinational State of)";"1995";"Mil. USD";"2.08318505106407";""
"68";"Bolivia (Plurinational State of)";"1995";"Million units";"9.077";""
"76";"Brazil";"2015";"Mil. USD";"241.31399288786";""
"76";"Brazil";"2015";"Million units";"3053.808";""
"76";"Brazil";"2014";"Mil. USD";"354.702698620286";""
"76";"Brazil";"2014";"Million units";"2987.696";""
"76";"Brazil";"2013";"Mil. USD";"395.696105425095";""
"76";"Brazil";"2013";"Million units";"2291.439";""
"76";"Brazil";"2012";"Mil. USD";"389.219931083448";""
"76";"Brazil";"2012";"Million units";"2430.433";""
"76";"Brazil";"2011";"Mil. USD";"425.972621201809";""
"76";"Brazil";"2011";"Million units";"2620.546";""
"76";"Brazil";"2010";"Mil. USD";"351.522134286827";""
"76";"Brazil";"2010";"Million units";"2415.937";""
"76";"Brazil";"2009";"Mil. USD";"259.311222560527";""
"76";"Brazil";"2009";"Million units";"2312.689";""
"76";"Brazil";"2008";"Mil. USD";"247.47159344155";""
"76";"Brazil";"2008";"Million units";"2104.203";""
"76";"Brazil";"2007";"Mil. USD";"189.592267822827";""
"76";"Brazil";"2007";"Million units";"2780.299";""
"76";"Brazil";"2006";"Mil. USD";"149.804968602417";""
"76";"Brazil";"2006";"Million units";"2290.825";""
"76";"Brazil";"2005";"Mil. USD";"121.125248465285";""
"76";"Brazil";"2005";"Million units";"1644.741";""
"76";"Brazil";"2004";"Mil. USD";"60.6021689231665";""
"76";"Brazil";"2004";"Million units";"1000.699";""
"76";"Brazil";"2003";"Mil. USD";"54.8464092123631";""
"76";"Brazil";"2003";"Million units";"1091.694";""
"76";"Brazil";"2002";"Mil. USD";"58.5116078591339";""
"76";"Brazil";"2002";"Million units";"1188.055";""
"76";"Brazil";"2001";"Mil. USD";"61.1053279844483";""
"76";"Brazil";"2001";"Million units";"988.713";""
"76";"Brazil";"2000";"Mil. USD";"76.3767710149941";""
"76";"Brazil";"2000";"Million units";"1010.867";""
"100";"Bulgaria";"2016";"Mil. USD";"0";"2"
"100";"Bulgaria";"2016";"Million units";"0";"2"
"100";"Bulgaria";"1997";"Million units";"19";""
"100";"Bulgaria";"1996";"Million units";"31";""
"100";"Bulgaria";"1995";"Million units";"25";""
"170";"Colombia";"1995";"Million units";"16.036";""
"191";"Croatia";"2016";"Mil. USD";"22.2846135945644";"2"
"191";"Croatia";"2016";"Million units";"47.38";""
"191";"Croatia";"2015";"Million units";"39.006";""
