alphanumiso;material_id;year;source;unit_id;value
AFG004;Me.Au;2016;usgs;Kg;40
OMN512;Me.Au;2016;usgs;Kg;167
OMN512;Me.Au;2017;usgs;Kg;6
SWZ748;Me.Au;2018;wmd;Kg;0
SWZ748;Me.Au;2019;wmd;Kg;6
SWZ748;Me.Au;2020;wmd;Kg;1
SWZ748;Me.Au;2016;usgs;Kg;30
SWZ748;Me.Au;2017;usgs;Kg;30
TCD148;Me.Au;2016;usgs;Kg;14
ALB008;M.kao;2016;usgs;t;1160000
CMR120;M.kao;2016;usgs;t;22000
EST233;M.kao;2016;usgs;t;58000
HUN348;M.kao;2016;usgs;t;1100
LTU440;M.kao;2016;usgs;t;326000
NOR578;M.kao;2016;usgs;t;225000
UNK000;M.kao;2016;usgs;t;62000
ARE784;M.gya;2016;usgs;Kt;700
ARE784;M.gya;2016;usgs;;700
ARE784;M.gya;2017;usgs;Kt;700
ARE784;M.gya;2017;usgs;;700
ARE784;M.gya;2018;usgs;;700
ARE784;M.gya;2019;usgs;;700
BLR112;M.gya;2016;usgs;Kt;63
BLR112;M.gya;2016;usgs;;63
BLR112;M.gya;2017;usgs;Kt;68
BLR112;M.gya;2017;usgs;;68
BLR112;M.gya;2018;usgs;;64
BLR112;M.gya;2019;usgs;;68
QAT634;M.gya;2016;usgs;Kt;210
QAT634;M.gya;2016;usgs;;210
QAT634;M.gya;2017;usgs;Kt;210
QAT634;M.gya;2017;usgs;;210
QAT634;M.gya;2018;usgs;;210
QAT634;M.gya;2019;usgs;;210
TKM795;M.gya;2016;usgs;Kt;110
TKM795;M.gya;2016;usgs;;110
TKM795;M.gya;2017;usgs;Kt;110
TKM795;M.gya;2017;usgs;;110
TKM795;M.gya;2018;usgs;;110
TKM795;M.gya;2019;usgs;;110
ARE784;Me.Cr;2016;usgs;t;19500
ARE784;Me.Cr;2016;usgs;;17863
ARE784;Me.Cr;2017;usgs;t;57800
ARE784;Me.Cr;2017;usgs;;57800
ARE784;Me.Cr;2018;usgs;t;190146
ARE784;Me.Cr;2018;usgs;;190146
ARE784;Me.Cr;2019;usgs;t;136100
ARE784;Me.Cr;2019;usgs;;159000
ARE784;Me.Cr;2020;usgs;t;62413
UNK000;Me.Cr;2016;usgs;t;8000
VNM704;Me.Cr;2016;usgs;t;15000
VNM704;Me.Cr;2017;usgs;t;750
VNM704;Me.Cr;2017;usgs;;750
ARE784;Nm.S;2016;usgs;Kt;5300
ARE784;Nm.S;2017;usgs;Kt;3300
ARE784;Nm.S;2018;usgs;Kt;3300
ARE784;Nm.S;2019;usgs;Kt;3300
BEL056;Nm.S;2016;usgs;Kt;455
BEL056;Nm.S;2017;usgs;Kt;453
BEL056;Nm.S;2018;usgs;Kt;400
BEL056;Nm.S;2019;usgs;Kt;400
CHL152;Nm.S;2016;usgs;Kt;1800
CHL152;Nm.S;2017;usgs;Kt;1800
CHL152;Nm.S;2018;usgs;Kt;1476
CHL152;Nm.S;2019;usgs;Kt;1500
FRA250;Nm.S;2016;usgs;Kt;400
FRA250;Nm.S;2017;usgs;Kt;400
FRA250;Nm.S;2018;usgs;Kt;400
FRA250;Nm.S;2019;usgs;Kt;400
IRN364;Nm.S;2016;usgs;Kt;2200
IRN364;Nm.S;2017;usgs;Kt;2200
IRN364;Nm.S;2018;usgs;Kt;2200
IRN364;Nm.S;2019;usgs;Kt;2200
KWT414;Nm.S;2016;usgs;Kt;850
KWT414;Nm.S;2017;usgs;Kt;850
KWT414;Nm.S;2018;usgs;Kt;850
KWT414;Nm.S;2019;usgs;Kt;850
MEX484;Nm.S;2016;usgs;Kt;673.285
MEX484;Nm.S;2017;usgs;Kt;551.218
MEX484;Nm.S;2018;usgs;Kt;442.657
MEX484;Nm.S;2019;usgs;Kt;364.967
QAT634;Nm.S;2016;usgs;Kt;2419
QAT634;Nm.S;2017;usgs;Kt;2100
QAT634;Nm.S;2018;usgs;Kt;1800
QAT634;Nm.S;2019;usgs;Kt;1800
SAU682;Nm.S;2016;usgs;Kt;6000
SAU682;Nm.S;2017;usgs;Kt;6500
SAU682;Nm.S;2018;usgs;Kt;6500
SAU682;Nm.S;2019;usgs;Kt;6500
TKM795;Nm.S;2016;usgs;Kt;600
TKM795;Nm.S;2017;usgs;Kt;610
TKM795;Nm.S;2018;usgs;Kt;450
TKM795;Nm.S;2019;usgs;Kt;450
VEN862;Nm.S;2016;usgs;Kt;700
VEN862;Nm.S;2017;usgs;Kt;700
VEN862;Nm.S;2018;usgs;Kt;430
VEN862;Nm.S;2019;usgs;Kt;320
ARG032;M.abr;2016;usgs;t;7000
ARG032;M.abr;2016;usgs;;7000
ARG032;M.abr;2017;usgs;t;7000
ARG032;M.abr;2017;usgs;;7000
ARG032;M.abr;2018;usgs;t;7000
ARG032;M.abr;2018;usgs;;2310
ARG032;M.abr;2019;usgs;;2300
CHL152;M.abr;2016;usgs;t;840976
CHL152;M.abr;2016;usgs;;840976
CHL152;M.abr;2017;usgs;t;840000
CHL152;M.abr;2017;usgs;;838890
CHL152;M.abr;2018;usgs;t;840000
CHL152;M.abr;2018;usgs;;803916
CHL152;M.abr;2019;usgs;;800000
CMR120;M.abr;2016;usgs;t;360000
CMR120;M.abr;2016;usgs;;272405
CMR120;M.abr;2017;usgs;t;360000
CMR120;M.abr;2017;usgs;;300000
CMR120;M.abr;2018;usgs;t;300000
CMR120;M.abr;2018;usgs;;300000
CMR120;M.abr;2019;usgs;;300000
DJI262;M.abr;2016;usgs;t;100000
DZA012;M.abr;2016;usgs;t;833000
DZA012;M.abr;2016;usgs;;833000
DZA012;M.abr;2017;usgs;t;900000
DZA012;M.abr;2017;usgs;;900000
DZA012;M.abr;2018;usgs;t;900000
DZA012;M.abr;2018;usgs;;900000
DZA012;M.abr;2019;usgs;;900000
ECU218;M.abr;2016;usgs;t;1000000
ECU218;M.abr;2016;usgs;;832332
ECU218;M.abr;2017;usgs;t;830000
ECU218;M.abr;2017;usgs;;757094
ECU218;M.abr;2018;usgs;t;630000
ECU218;M.abr;2018;usgs;;800000
ECU218;M.abr;2019;usgs;;800000
ERI232;M.abr;2016;usgs;t;5100
ERI232;M.abr;2016;usgs;;5100
ERI232;M.abr;2017;usgs;t;5400
ERI232;M.abr;2017;usgs;;5400
ERI232;M.abr;2018;usgs;t;7200
ERI232;M.abr;2018;usgs;;7200
ERI232;M.abr;2019;usgs;;7200
ESP724;M.abr;2016;usgs;t;200000
ESP724;M.abr;2016;usgs;;200000
ESP724;M.abr;2017;usgs;t;200000
ESP724;M.abr;2017;usgs;;200000
ESP724;M.abr;2018;usgs;t;200000
ESP724;M.abr;2018;usgs;;200000
ESP724;M.abr;2019;usgs;;200000
ETH231;M.abr;2016;usgs;t;800000
ETH231;M.abr;2016;usgs;;672133
ETH231;M.abr;2017;usgs;t;800000
ETH231;M.abr;2017;usgs;;958707
ETH231;M.abr;2018;usgs;t;800000
ETH231;M.abr;2018;usgs;;2435518
ETH231;M.abr;2019;usgs;;2400000
FRA250;M.abr;2016;usgs;t;280000
FRA250;M.abr;2016;usgs;;280000
FRA250;M.abr;2017;usgs;t;280000
FRA250;M.abr;2017;usgs;;280000
FRA250;M.abr;2018;usgs;t;280000
FRA250;M.abr;2018;usgs;;280000
FRA250;M.abr;2019;usgs;;280000
GLP312;M.abr;2016;usgs;t;200000
GLP312;M.abr;2016;usgs;;200000
GLP312;M.abr;2017;usgs;t;200000
GLP312;M.abr;2017;usgs;;200000
GLP312;M.abr;2018;usgs;t;200000
GLP312;M.abr;2018;usgs;;200000
GLP312;M.abr;2019;usgs;;200000
GRC300;M.abr;2016;usgs;t;870000
GRC300;M.abr;2016;usgs;;776010
GRC300;M.abr;2017;usgs;t;1130000
GRC300;M.abr;2017;usgs;;954000
GRC300;M.abr;2018;usgs;t;1130000
GRC300;M.abr;2018;usgs;;934355
GRC300;M.abr;2019;usgs;;1020000
GTM320;M.abr;2016;usgs;t;569476
GTM320;M.abr;2016;usgs;;569476
GTM320;M.abr;2017;usgs;t;570000
GTM320;M.abr;2017;usgs;;570000
GTM320;M.abr;2018;usgs;t;570000
GTM320;M.abr;2018;usgs;;570000
GTM320;M.abr;2019;usgs;;570000
HRV191;M.abr;2016;usgs;t;20000
HRV191;M.abr;2017;usgs;t;20000
IDN360;M.abr;2016;usgs;t;650000
IDN360;M.abr;2016;usgs;;650000
IDN360;M.abr;2017;usgs;t;770000
