alphanumiso;country;material_id;material_name;unit_id;source_all;2016;2017;2018;2019;2020
AFG004;Afghanistan;M.bar;Barite;t;bgs;500;500;500;500;500
AFG004;Afghanistan;O.Cr;Chromium ore;t;bgs;4545;4500;4500;4500;4500
AFG004;Afghanistan;M.flu;Fluorspar;t;bgs;4000;4000;4000;4000;4000
AFG004;Afghanistan;M.gya;Gypsum and anhydrite;t;wmd;57000;40000;36161;24371;15049
AFG004;Afghanistan;M.sal;Salt nec;t;wmd;56928;75579;47944;114245;
AGO024;Angola;Nm.dig;Diamonds, gems;ct;wmd;8119320;8494920;8490500;8234770;6960850
AGO024;Angola;Nm.dii;Diamonds, industrial;ct;wmd;902147;943880;943390;914975;773430
AGO024;Angola;M.fue;Fuller's earth;t;bgs;98000;98000;98000;98000;98000
AGO024;Angola;M.gya;Gypsum and anhydrite;t;wmd;0;32000;32000;32000;32000
AGO024;Angola;M.sal;Salt nec;t;wmd;93000;101000;110000;109000;
ALB008;Albania;O.Cr;Chromium ore;t;bgs;726671;808016;1142719;1288315;626627
ALB008;Albania;Me.Cu;Copper;t;wmd;2020;0;3780;5900;3070
ALB008;Albania;M.gya;Gypsum and anhydrite;t;bgs;131925;104120;102016;106070;111880
ALB008;Albania;Me.Ni;Nickel;t;wmd;4400;5760;4050;2960;3760
ALB008;Albania;M.sal;Salt nec;t;wmd;15500;25500;31500;30000;
ARG032;Argentina;M.asb;Asbestos;t;wmd;0;26;0;0;0
ARG032;Argentina;M.bar;Barite;t;wmd;12389;15553;7225;3898;0
ARG032;Argentina;M.ben;Bentonite, sepiolite and attapulgite;t;bgs;145723;121735;184969;113750;46288
ARG032;Argentina;Me.Cd;Cadmium;t;wmd;91;96;74;80;46
ARG032;Argentina;Me.Cu;Copper;t;wmd;81902;33303;17435;0;0
ARG032;Argentina;M.fel;Feldspar;t;bgs;155217;88465;56500;56500;32000
ARG032;Argentina;M.flu;Fluorspar;t;wmd;14222;13696;7924;1500;48000
ARG032;Argentina;Me.Au;Gold;Kg;wmd;56967;60956;58397;53125;34936
ARG032;Argentina;M.gra;Graphite, natural;t;wmd;0;0;0;0;
ARG032;Argentina;M.gya;Gypsum and anhydrite;t;wmd;1558390;1275608;897217;761013;499092
ARG032;Argentina;M.kao;Kaolin;t;wmd;26198;19940;17000;11853;20628
ARG032;Argentina;Me.Pb;Lead;t;wmd;28016;40135;28260;42957;23008
ARG032;Argentina;O.Li;Lithium ore;t;bgs;30877;31060;34712;34293;31747
ARG032;Argentina;Me.Hg;Mercury;t;wmd;135;54;50;50;0
ARG032;Argentina;M.mic;Mica;t;bgs;564;189;120;0;0
ARG032;Argentina;Me.Mo;Molybdenum;t;wmd;479;651;364;0;0
ARG032;Argentina;M.per;Perlite;t;bgs;17905;19924;18794;19000;19000
ARG032;Argentina;M.sal;Salt nec;t;wmd;1812285;1929065;1784020;984700;
ARG032;Argentina;Me.Ag;Silver;Kg;wmd;1055700;997961;1023768;1070670;767087
ARG032;Argentina;O.Sr;Strontium mineral;t;bgs;5000;5000;700;700;670
ARG032;Argentina;M.tal;Talc (steatite, soapstone, pyrophyllite);t;bgs;11262;8335;11728;11700;12000
ARG032;Argentina;M.ver;Vermiculite;t;wmd;60;0;0;0;0
ARG032;Argentina;Me.Zn;Zinc;t;wmd;22792;23392;22050;19462;11320
ARM051;Armenia;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;13956;24712;0;0;0
ARM051;Armenia;Me.Bi;Bismuth;t;wmd;1;1;0;0;0
ARM051;Armenia;Me.Cu;Copper;t;wmd;95080;95793;68928;91214;83291
ARM051;Armenia;Me.Au;Gold;Kg;wmd;3732;4670;4967;5825;5317
ARM051;Armenia;M.gya;Gypsum and anhydrite;t;wmd;14831;14336;20387;22907;28508
ARM051;Armenia;Me.Mo;Molybdenum;t;wmd;5771;5038;5422;7137;11909
ARM051;Armenia;M.per;Perlite;t;wmd;44820;14036;51222;80676;104410
ARM051;Armenia;Me.Re;Rhenium;Kg;wmd;280;260;280;310;260
ARM051;Armenia;M.sal;Salt nec;t;wmd;68435;137236;155393;56685;
ARM051;Armenia;Me.Se;Selenium;t;wmd;1;1;0;0;0
ARM051;Armenia;Me.Ag;Silver;Kg;bgs;16000;18500;15000;20000;19500
ARM051;Armenia;Me.Zn;Zinc;t;wmd;4960;6070;6946;7162;8684
AUS036;Australia;Me.Sb;Antimony;t;wmd;4285;3131;2173;2032;3903
AUS036;Australia;M.bar;Barite;t;wmd;7139;8958;6535;1982;0
AUS036;Australia;O.Al;Bauxite;t;wmd;83517148;89420589;95947593;105543787;103626811
AUS036;Australia;M.ben;Bentonite, sepiolite and attapulgite;t;bgs;90917;116762;87330;56215;42713
AUS036;Australia;Me.Co;Cobalt;t;wmd;5183;5034;4878;5741;5630
AUS036;Australia;Me.Cu;Copper;t;wmd;947555;849121;910896;925157;879522
AUS036;Australia;Nm.dig;Diamonds, gems;ct;wmd;279160;342690;280160;243090;199600
AUS036;Australia;Nm.dii;Diamonds, industrial;ct;wmd;13678840;16792040;13727890;11911450;9780400
AUS036;Australia;M.fel;Feldspar;t;wmd;31768;329;542;50;1241
AUS036;Australia;O.Fe;Ferrous ore;t;bgs;858025634;885356738;907818648;917045579;918063223
AUS036;Australia;M.fue;Fuller's earth;t;bgs;12200;11871;10000;8000;9000
AUS036;Australia;Me.Au;Gold;Kg;wmd;290767;292022;313028;326304;327889
AUS036;Australia;M.gya;Gypsum and anhydrite;t;wmd;3664700;3184480;4070814;3676467;3422265
AUS036;Australia;O.FeTiO3;Ilmenite;t;bgs;765399;693763;569472;596288;634165
AUS036;Australia;M.kao;Kaolin;t;wmd;222229;192150;173738;114050;154812
AUS036;Australia;Me.Pb;Lead;t;wmd;441338;395190;446571;500985;494271
AUS036;Australia;O.leu;Leucoxene;t;bgs;73380;57148;69183;46743;79058
AUS036;Australia;O.Li;Lithium ore;t;bgs;522181;1706619;1965944;1616764;1479872
AUS036;Australia;O.MgCO3;Magnesite;t;wmd;469455;210844;263446;413182;799203
AUS036;Australia;O.Mn;Manganese ore;t;bgs;5327566;6172266;7212118;6649432;4752200
AUS036;Australia;Me.Ni;Nickel;t;wmd;203135;185466;160022;158751;169344
AUS036;Australia;Me.Pd;Palladium;Kg;wmd;610;610;430;390;420
AUS036;Australia;M.per;Perlite;t;wmd;620;275;2285;1264;2185
AUS036;Australia;O.P;Phosphate rock;t;bgs;1037265;942373;850987;720615;936043
AUS036;Australia;Me.Pt;Platinum;Kg;wmd;152;155;110;95;100
