material_id;source_material_id
M.asb;Asbestos
M.asb;Asbestos
M.asb;Production of asbestos
M.bar;Barite
M.bar;Barite - Chemical grade (ground)
M.bar;Barite - Drilling mud (ground)
M.bar;Barite - Unground
M.bar;Baryte
M.bar;Baryte
M.bar;Production of barytes
M.ben;Attapulgite
M.ben;Attapulgites
M.ben;Bentonic clay
M.ben;Bentonit
M.ben;Bentonit clays for smelting
M.ben;Bentonita
M.ben;Bentonite
M.ben;Bentonite
M.ben;Bentonite
M.ben;Bentonite 
M.ben;Bentonite clay
M.ben;Bentonyt und feuerfester Ton
M.ben;Sepiolite
M.ben;Sepiolite and attapulgite
M.bor;Boron
M.bor;Boron minerals
M.bor;Boron minerals
M.bor;Production of borates
M.bor;Ulexita
M.bro;Production of bromine
M.crs;gebrochener Naturstein für den Tiefbau
M.crs;Blasted and crushed rock
M.crs;Blasted Rock
M.crs;Construction Stone
M.crs;Construction stones for concrete filler
M.crs;Crushed and brown stone
M.crs;Crushed items from natural stone
M.crs;Crushed rock
M.crs;Crushed rock
M.crs;Crushed stone
M.crs;Crushed stone 
M.crs;Crushed stone aggregate
M.crs;Crushed stone and boulders
M.crs;Crushed stone and ornamental stone
M.crs;Crushed stone from mine production in non-reserved deposits
M.crs;Crushed stone from mine production in reserved deposits
M.crs;Crushed stone other
M.crs;Crushed stones
M.crs;Gebr. Natursteine
M.crs;Gebrochener Naturstein
M.crs;Quarried Stone
M.crs;Quarry stone
M.dia;Diatomita
M.dia;Diatomite
M.dia;Diatomite
M.dia;Diatomute
M.dia;Production of diatomite
M.fel;Feldespato
M.fel;Feldspar
M.fel;Feldspar
M.fel;Feldspar potassium
M.fel;Feldspar sodium
M.fel;Feldspar substitutes
M.fel;Feldspatic sand
M.fel;Production of feldspar
M.fic;Ceramic and fire clay
M.fic;Ceramic clay
M.fic;Ceramic clays
M.fic;Feuerfester lehm
M.fic;Feuerfester u. keramischer Ton
M.fic;Feuerfester u. keramischer Ton, roh
M.fic;Feuerfester und kermaischer Ton
M.fic;Fire clay
M.fic;Fire clay 
M.fic;Fire clays
M.fic;Kyanite Gems
M.fic;Kyanite gems grade
M.fic;Kyanite Ind
M.fic;Kyanite industrial grade
M.fic;Production of sillimanite minerals
M.fic;Refractory clays
M.flu;Fluorspar
M.flu;Fluorspar
