year;value_current;value_former;difference
2021;11251673978.708555;11251673978.708555;0
2020;51433504276.99597;51433504276.99597;0
2019;55954145005.22241;55954145005.22241;0
2018;64222096057.85395;64222096057.85395;0
2017;63700896896.00774;63700896896.00774;0
2016;63706712987.06781;63706712987.06781;0
2015;51773181036.54207;51773181036.54207;0
2014;52376542119.24652;52376542119.24652;0
2013;51915568817.14852;51915568817.14852;0
2012;50036162628.39788;50036162628.39788;0
2011;45250207199.548775;45250207199.548775;0
2010;9835536937.901903;9835536937.901903;0
2009;9259900274.409779;9259900274.409779;0
2008;9472505869.284721;9472505869.284721;0
2007;9345054622.16648;9345054622.16648;0
2006;9195151250.648508;9195151250.648508;0
2005;8911125122.009832;8911125122.009832;0
2004;8767427662.964394;8767427662.964394;0
2003;8517538808.160982;8517538808.160982;0
2002;8280931732.49381;8280931732.49381;0
2001;8259359436.480867;8259359436.480867;0
2000;8091133246.892377;8091133246.892377;0
1999;7908625280.258116;7908625280.258116;0
1998;7910937479.134882;7910937479.134882;0
1997;7816742705.851545;7816742705.851545;0
1996;7718575721.872144;7718575721.872144;0
1995;7580647167.068086;7580647167.068086;0
1994;7551053002.725196;7551053002.725196;0
1993;7505471675.805338;7505471675.805338;0
1992;7535604322.101717;7535604322.101717;0
1991;6928391605.379223;6928391605.379223;0
1990;4748072781.363003;4748072781.363003;0
1989;4654934482.967347;4654934482.967347;0
1988;4525734810.684669;4525734810.684669;0
1987;4315391211.985821;4315391211.985821;0
1986;4229373410.194104;4229373410.194104;0
1985;4080459085.3557825;4080459085.3557825;0
1984;4039593510.308552;4039593510.308552;0
1983;3963971393.530608;3963971393.530608;0
1982;3962446318.450064;3962446318.450064;0
1981;4093759356.380016;4093759356.380016;0
1980;4240613500.31904;4240613500.31904;0
1979;4369259295;4369259295;0
1978;4082101636;4082101636;0
1977;4056111088;4056111088;0
1976;3908216037;3908216037;0
1975;3659217292;3659217292;0
1974;3779500118;3779500118;0
1973;3780741655;3780741655;0
1972;3510750817;3510750817;0
1971;3314415364;3314415364;0
1970;3121262885;3121262885;0
