alphanumiso;CCC_Code;year;unit;value
ABW533;A.3.2.3;2011;t;72302.21695999999
ABW533;A.3.2.3;2012;t;72302.21695999999
ABW533;A.3.2.3;2013;t;72302.21695999999
ABW533;A.3.2.3;2014;t;72302.21695999999
ABW533;A.3.2.3;2015;t;72302.21695999999
ABW533;A.3.2.3;2016;t;72302.21695999999
ABW533;A.3.2.3;2017;t;72302.21695999999
ABW533;A.3.2.3;2018;t;79669.68736000001
ABW533;A.3.6;2011;t;2972.953
ABW533;A.3.6;2012;t;2972.953
ABW533;A.3.6;2013;t;2972.953
ABW533;A.3.6;2014;t;2972.953
ABW533;A.3.6;2015;t;2972.953
ABW533;A.3.6;2016;t;2972.953
ABW533;A.3.6;2017;t;2972.953
ABW533;A.3.6;2018;t;3275.8917500000007
ABW533;A.3.7.1;2011;t;18075.554239999998
ABW533;A.3.7.1;2012;t;18075.554239999998
ABW533;A.3.7.1;2013;t;18075.554239999998
ABW533;A.3.7.1;2014;t;18075.554239999998
ABW533;A.3.7.1;2015;t;18075.554239999998
ABW533;A.3.7.1;2016;t;18075.554239999998
ABW533;A.3.7.1;2017;t;18075.554239999998
ABW533;A.3.7.1;2018;t;19917.421840000003
ABW533;A.3.8.2;2011;t;312754.6556
ABW533;A.3.8.2;2012;t;312754.6556
ABW533;A.3.8.2;2013;t;312754.6556
ABW533;A.3.8.2;2014;t;312754.6556
ABW533;A.3.8.2;2015;t;312754.6556
ABW533;A.3.8.2;2016;t;312754.6556
ABW533;A.3.8.2;2017;t;195364.95659999998
ABW533;A.3.8.2;2018;t;253818.62410000002
ABW533;A.4.2.1;2000;t;120000
ABW533;A.4.2.1;2001;t;120000
ABW533;A.4.2.1;2002;t;120000
ABW533;A.4.2.1;2003;t;120000
ABW533;A.4.2.1;2004;t;120000
ABW533;A.4.2.1;2005;t;120000
ABW533;A.4.2.1;2006;t;120000
ABW533;A.4.2.1;2007;t;125000
ABW533;A.4.2.1;2008;t;122000
ABW533;A.4.2.1;2009;t;123000
ABW533;A.4.2.1;2010;t;120000
ABW533;A.4.2.1;2011;t;100000
ABW533;A.4.2.1;2012;t;80000
ABW533;A.4.2.1;2013;t;0
AFG004;A.2.2.Cr;2016;t;4545
AFG004;A.2.2.Cr;2017;t;4500
AFG004;A.2.2.Cr;2018;t;4500
AFG004;A.2.2.Cr;2019;t;4500
AFG004;A.2.2.Cr;2020;t;4500
AFG004;A.3.1;2011;t;31036
AFG004;A.3.1;2012;t;31036
AFG004;A.3.1;2013;t;31036
AFG004;A.3.1;2014;t;31036
AFG004;A.3.1;2015;t;31036
AFG004;A.3.1;2016;t;31036
AFG004;A.3.1;2017;t;29100
AFG004;A.3.1;2018;t;28300
AFG004;A.3.2.3;2011;t;86092.8
AFG004;A.3.2.3;2012;t;86092.8
AFG004;A.3.2.3;2013;t;105792
AFG004;A.3.2.3;2014;t;85241.59999999999
AFG004;A.3.2.3;2015;t;122572.8
AFG004;A.3.2.3;2016;t;226540.8
AFG004;A.3.2.3;2017;t;218880
AFG004;A.3.2.3;2018;t;133760
AFG004;A.3.4.2;2011;t;4500
AFG004;A.3.4.2;2012;t;4500
AFG004;A.3.4.2;2013;t;4500
AFG004;A.3.4.2;2014;t;4500
AFG004;A.3.4.2;2015;t;4500
AFG004;A.3.4.2;2016;t;4500
AFG004;A.3.4.2;2017;t;4500
AFG004;A.3.4.2;2018;t;4500
AFG004;A.3.4.2;2019;t;4500
AFG004;A.3.4.2;2020;t;4500
AFG004;A.3.4.3;2011;t;37.03
AFG004;A.3.4.3;2012;t;37.03
AFG004;A.3.4.3;2013;t;37.03
AFG004;A.3.4.3;2014;t;37.03
AFG004;A.3.4.3;2015;t;37.03
AFG004;A.3.4.3;2016;t;37.03
AFG004;A.3.4.3;2017;t;38.2
AFG004;A.3.4.3;2018;t;40.5
AFG004;A.3.5;2011;t;56928
AFG004;A.3.5;2012;t;56928
AFG004;A.3.5;2013;t;56928
AFG004;A.3.5;2014;t;56928
AFG004;A.3.5;2015;t;56928
AFG004;A.3.5;2016;t;56928
AFG004;A.3.5;2017;t;75579
AFG004;A.3.5;2018;t;47944
AFG004;A.3.5;2019;t;114245
AFG004;A.3.6;2011;t;3540
AFG004;A.3.6;2012;t;3540
AFG004;A.3.6;2013;t;4350
AFG004;A.3.6;2014;t;3505
AFG004;A.3.6;2015;t;5040
AFG004;A.3.6;2016;t;57000
AFG004;A.3.6;2017;t;40000
AFG004;A.3.6;2018;t;36161
AFG004;A.3.6;2019;t;24371
AFG004;A.3.6;2020;t;15049
AFG004;A.3.7.1;2011;t;21523.2
AFG004;A.3.7.1;2012;t;21523.2
AFG004;A.3.7.1;2013;t;26448
AFG004;A.3.7.1;2014;t;21310.399999999998
AFG004;A.3.7.1;2015;t;30643.2
AFG004;A.3.7.1;2016;t;56635.2
AFG004;A.3.7.1;2017;t;54720
AFG004;A.3.7.1;2018;t;33440
AFG004;A.3.8.2;2011;t;372408
AFG004;A.3.8.2;2012;t;372408
AFG004;A.3.8.2;2013;t;457620
AFG004;A.3.8.2;2014;t;368726
AFG004;A.3.8.2;2015;t;530208
AFG004;A.3.8.2;2016;t;3070000
AFG004;A.3.8.2;2017;t;1580000
AFG004;A.3.8.2;2018;t;956000
AFG004;A.4.1.2.3;1980;t;119002.00536000001
AFG004;A.4.1.2.3;1981;t;125002.108224
AFG004;A.4.1.2.3;1982;t;145002.44808
AFG004;A.4.1.2.3;1983;t;145002.44808
AFG004;A.4.1.2.3;1984;t;148002.494976
AFG004;A.4.1.2.3;1985;t;151002.550944
AFG004;A.4.1.2.3;1986;t;160002.70070400002
AFG004;A.4.1.2.3;1987;t;167002.81920000003
AFG004;A.4.1.2.3;1988;t;138002.329584
AFG004;A.4.1.2.3;1989;t;127002.139488
AFG004;A.4.1.2.3;1990;t;105001.768368
AFG004;A.4.1.2.3;1991;t;94001.58734400001
AFG004;A.4.1.2.3;1992;t;8000.134128000001
AFG004;A.4.1.2.3;1993;t;7000.118496
AFG004;A.4.1.2.3;1994;t;6000.102864
AFG004;A.4.1.2.3;1995;t;5000.087232000001
AFG004;A.4.1.2.3;1996;t;3000.0468960000003
AFG004;A.4.1.2.3;1997;t;2000.031264
AFG004;A.4.1.2.3;1998;t;2000.031264
AFG004;A.4.1.2.3;1999;t;1000.015632
AFG004;A.4.1.2.3;2000;t;1000.015632
AFG004;A.4.1.2.3;2001;t;26000.442720000003
AFG004;A.4.1.2.3;2002;t;21000.355488
AFG004;A.4.1.2.3;2003;t;35000.59248
AFG004;A.4.1.2.3;2004;t;34000.576848
AFG004;A.4.1.2.3;2005;t;33000.552144
AFG004;A.4.1.2.3;2006;t;35000.59248
AFG004;A.4.1.2.3;2007;t;243004.09795199998
AFG004;A.4.1.2.3;2008;t;347005.85068800004
AFG004;A.4.1.2.3;2009;t;500008.432896
AFG004;A.4.1.2.3;2010;t;725012.2313280001
AFG004;A.4.1.2.3;2011;t;1480023.13536
AFG004;A.4.1.2.3;2012;t;1240019.38368
AFG004;A.4.1.2.3;2013;t;1347021.056304
AFG004;A.4.1.2.3;2014;t;1517423.7199968
AFG004;A.4.1.2.3;2015;t;1365021.33768
AFG004;A.4.1.2.3;2016;t;1698026.543136
AFG004;A.4.1.2.3;2017;t;2191034.249712
AFG004;A.4.1.2.3;2018;t;2445038.22024
AFG004;A.4.1.2.3;2019;t;2139033.436848
AFG004;A.4.1.2.3;2020;t;2095889.1130971562
AFG004;A.4.1.2.3;2021;t;57000.891024000004
AFG004;A.4.2.2;1970;t;1705428
AFG004;A.4.2.2;1971;t;1738818
AFG004;A.4.2.2;1972;t;1897704
AFG004;A.4.2.2;1973;t;1837998
AFG004;A.4.2.2;1974;t;1933038
AFG004;A.4.2.2;1975;t;1964952
AFG004;A.4.2.2;1976;t;1680102
AFG004;A.4.2.2;1977;t;1673604
AFG004;A.4.2.2;1978;t;1624014
AFG004;A.4.2.2;1979;t;1536372
