alphanumiso;material_id;year;factor;source
CAN124;Ff.ois;1970;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1971;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1972;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1973;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1974;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1975;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1976;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1977;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1978;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1979;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1980;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1981;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1982;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1983;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1984;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1985;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1986;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1987;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1988;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1989;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1990;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1991;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1992;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1993;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1994;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1995;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1996;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1997;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1998;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;1999;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2000;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2001;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2002;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2003;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2004;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2005;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2006;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2007;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2008;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2009;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2010;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2011;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2012;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2013;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2014;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2015;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2016;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2017;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2018;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2019;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2020;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2021;14.663;based on factors applied in former compilation of database
ARG032;Me.Ag;1970;2291.2247218131383;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1971;2292.2442758769425;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1972;2294.2098079380903;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1973;2296.6167963979988;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1974;2298.960719658084;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1975;2300.737056119763;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1976;2301.4412841844523;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1977;2302.83134368754;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1978;2306.3064924452583;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1979;2310.8241858302927;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1980;2315.3418792153266;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1981;2318.8170279730452;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1982;2320.2070874761325;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1983;2322.7436839163283;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1984;2329.2854326305155;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1985;2338.2302727090987;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1986;2347.9761432424807;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1987;2356.9209833210643;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1988;2363.462732035252;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1989;2365.9993284754473;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1990;2373.3342599071248;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1991;2391.6715884863174;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1992;2415.5101156392675;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1993;2439.348642792218;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1994;2457.685971371411;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1995;2465.020902803088;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1996;2490.2444566706276;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1997;2555.2946745395434;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1998;2644.2408908092857;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;1999;2741.1524398793044;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2000;2830.098656149047;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2001;2895.1488740179634;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2002;2920.3724278855025;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2003;2929.6334115757554;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2004;2952.785870801386;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2005;2982.884067794706;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2006;3012.9822647880264;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2007;3036.1347240136574;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2008;3045.3957077039095;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2009;3051.0459626645215;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2010;3065.1716000660504;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2011;3083.5349286880373;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2012;3101.898257310025;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2013;3116.0238947115545;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2014;3121.6741496721656;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2015;3126.8083717880622;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2016;3139.7588723490567;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2017;3156.847402675103;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2018;3174.3957140861544;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2019;3188.7255579021657;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2020;3196.158685443091;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1970;8723.046376268947;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1971;8720.211568763687;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1972;8714.746527490655;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1973;8708.054043792665;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1974;8701.536909012524;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1975;8696.597914493046;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1976;8694.639851577042;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1977;8691.514329152698;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1978;8683.70052309184;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1979;8673.542575212723;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1980;8663.384627333606;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1981;8655.570821272748;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1982;8652.445298848403;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1983;8647.12121660829;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1984;8633.390688725889;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1985;8614.616293458119;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1986;8594.160609061893;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1987;8575.386213794123;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1988;8561.655685911726;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1989;8556.331603671611;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1990;8540.395251859438;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1991;8500.554372329;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1992;8448.761228939431;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1993;8396.968085549865;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1994;8357.127206019428;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1995;8341.190854207252;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1996;8297.424697741444;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1997;8184.554083698041;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1998;8030.220795108083;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;1999;7862.066615002606;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2000;7707.733326412648;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2001;7594.862712369247;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2002;7551.096555903438;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2003;7533.859531983214;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2004;7490.766972182651;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2005;7434.746644441922;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2006;7378.726316701192;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2007;7335.633756900632;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2008;7318.396732980406;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2009;7308.336350978864;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2010;7283.185395975007;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2011;7250.489154469991;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2012;7217.792912964977;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2013;7192.641957961121;based on S&P Global mining data and price-based allocation of ore
