alphanumiso;material_id;year;factor;source
CAN124;Ff.ois;2016;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2017;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2018;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2019;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2020;14.663;based on factors applied in former compilation of database
CAN124;Ff.ois;2021;14.663;based on factors applied in former compilation of database
ARG032;Me.Ag;2016;3139.7588723490567;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2017;3156.847402675103;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2018;3174.3957140861544;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2019;3188.7255579021657;based on S&P Global mining data and price-based allocation of ore
ARG032;Me.Ag;2020;3196.158685443091;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2016;7151.888037449027;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2017;7122.885244703891;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2018;7093.102107759332;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2019;7068.78138021072;based on S&P Global mining data and price-based allocation of ore
ARM051;Me.Ag;2020;7056.165815653417;based on S&P Global mining data and price-based allocation of ore
AUS036;Me.Ag;2016;2338.4629469913575;based on S&P Global mining data and price-based allocation of ore
AUS036;Me.Ag;2017;2343.250933270334;based on S&P Global mining data and price-based allocation of ore
AUS036;Me.Ag;2018;2348.167744292242;based on S&P Global mining data and price-based allocation of ore
AUS036;Me.Ag;2019;2352.1827821136258;based on S&P Global mining data and price-based allocation of ore
AUS036;Me.Ag;2020;2354.265448791028;based on FINEPRINT mining data and price-based allocation of ore
AZE031;Me.Ag;2016;8072.914114606878;based on S&P Global mining data and price-based allocation of ore
AZE031;Me.Ag;2017;8104.91941172101;based on S&P Global mining data and price-based allocation of ore
AZE031;Me.Ag;2018;8137.785837905478;based on S&P Global mining data and price-based allocation of ore
AZE031;Me.Ag;2019;8164.624360597597;based on S&P Global mining data and price-based allocation of ore
AZE031;Me.Ag;2020;8178.545947234684;based on S&P Global mining data and price-based allocation of ore
BFA854;Me.Ag;2016;5076.567514242157;based on S&P Global mining data and price-based allocation of ore
BFA854;Me.Ag;2017;5109.981708379306;based on S&P Global mining data and price-based allocation of ore
BFA854;Me.Ag;2018;5144.29493913001;based on S&P Global mining data and price-based allocation of ore
BFA854;Me.Ag;2019;5172.314913585825;based on S&P Global mining data and price-based allocation of ore
BFA854;Me.Ag;2020;5186.849338838307;based on S&P Global mining data and price-based allocation of ore
BGR100;Me.Ag;2016;9821.92654996699;based on S&P Global mining data and price-based allocation of ore
BGR100;Me.Ag;2017;9913.844463529742;based on S&P Global mining data and price-based allocation of ore
BGR100;Me.Ag;2018;10008.23550481167;based on S&P Global mining data and price-based allocation of ore
BGR100;Me.Ag;2019;10085.31465205936;based on S&P Global mining data and price-based allocation of ore
BGR100;Me.Ag;2020;10125.296883519388;based on S&P Global mining data and price-based allocation of ore
BOL068;Me.Ag;2016;5819.849756512586;based on S&P Global mining data and price-based allocation of ore
BOL068;Me.Ag;2017;5823.828993246569;based on S&P Global mining data and price-based allocation of ore
BOL068;Me.Ag;2018;5827.915294646038;based on S&P Global mining data and price-based allocation of ore
BOL068;Me.Ag;2019;5831.25214338709;based on S&P Global mining data and price-based allocation of ore
BOL068;Me.Ag;2020;5832.983022145817;based on S&P Global mining data and price-based allocation of ore
BRA076;Me.Ag;2016;14368.381309422195;based on S&P Global mining data and price-based allocation of ore
BRA076;Me.Ag;2017;14427.509163328126;based on S&P Global mining data and price-based allocation of ore
BRA076;Me.Ag;2018;14488.227901195653;based on S&P Global mining data and price-based allocation of ore
BRA076;Me.Ag;2019;14537.810451332018;based on S&P Global mining data and price-based allocation of ore
BRA076;Me.Ag;2020;14563.52974204446;based on S&P Global mining data and price-based allocation of ore
BWA072;Me.Ag;2016;8291.256331761717;based on S&P Global mining data and price-based allocation of ore
BWA072;Me.Ag;2017;8332.405807154928;based on S&P Global mining data and price-based allocation of ore
BWA072;Me.Ag;2018;8374.66244332105;based on S&P Global mining data and price-based allocation of ore
BWA072;Me.Ag;2019;8409.168954076793;based on S&P Global mining data and price-based allocation of ore
CAN124;Me.Ag;2016;4155.300417272437;based on S&P Global mining data and price-based allocation of ore
CAN124;Me.Ag;2017;4172.678059503902;based on S&P Global mining data and price-based allocation of ore
CAN124;Me.Ag;2018;4190.523261616034;based on S&P Global mining data and price-based allocation of ore
CAN124;Me.Ag;2019;4205.095544563495;based on S&P Global mining data and price-based allocation of ore
CAN124;Me.Ag;2020;4212.654429300949;based on S&P Global mining data and price-based allocation of ore
CHL152;Me.Ag;2016;6428.692180902481;based on S&P Global mining data and price-based allocation of ore
CHL152;Me.Ag;2017;6429.912174028422;based on S&P Global mining data and price-based allocation of ore
CHL152;Me.Ag;2018;6431.164992081518;based on S&P Global mining data and price-based allocation of ore
CHL152;Me.Ag;2019;6432.188035644526;based on S&P Global mining data and price-based allocation of ore
CHL152;Me.Ag;2020;6432.7187053002035;based on S&P Global mining data and price-based allocation of ore
CHN156;Me.Ag;2016;5122.286473699606;based on S&P Global mining data and price-based allocation of ore
CHN156;Me.Ag;2017;5140.456435058037;based on S&P Global mining data and price-based allocation of ore
CHN156;Me.Ag;2018;5159.115274300551;based on S&P Global mining data and price-based allocation of ore
CHN156;Me.Ag;2019;5174.351968354481;based on S&P Global mining data and price-based allocation of ore
CHN156;Me.Ag;2020;5182.255494147161;based on S&P Global mining data and price-based allocation of ore
CIV384;Me.Ag;2016;10904.752213704543;based on S&P Global mining data and price-based allocation of ore
CIV384;Me.Ag;2017;10905.593650019076;based on S&P Global mining data and price-based allocation of ore
CIV384;Me.Ag;2018;10906.457725875702;based on S&P Global mining data and price-based allocation of ore
CIV384;Me.Ag;2019;10907.163324937665;based on S&P Global mining data and price-based allocation of ore
CIV384;Me.Ag;2020;10907.5293308682;based on S&P Global mining data and price-based allocation of ore
COD180;Me.Ag;2016;3715.6876895109076;based on S&P Global mining data and price-based allocation of ore
COD180;Me.Ag;2017;3744.528541798023;based on S&P Global mining data and price-based allocation of ore
COD180;Me.Ag;2018;3774.1453811421907;based on S&P Global mining data and price-based allocation of ore
COD180;Me.Ag;2019;3798.330311086991;based on S&P Global mining data and price-based allocation of ore
COD180;Me.Ag;2020;3810.8754351760053;based on S&P Global mining data and price-based allocation of ore
COL170;Me.Ag;2016;2761.703449469386;based on S&P Global mining data and price-based allocation of ore
COL170;Me.Ag;2017;2756.3883028754212;based on S&P Global mining data and price-based allocation of ore
COL170;Me.Ag;2018;2750.9301478529183;based on S&P Global mining data and price-based allocation of ore
COL170;Me.Ag;2019;2746.473051830176;based on S&P Global mining data and price-based allocation of ore
COL170;Me.Ag;2020;2744.1610822354905;based on S&P Global mining data and price-based allocation of ore
CYP196;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
CYP196;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
CYP196;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
CYP196;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
CYP196;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
DEU276;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
DEU276;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
DEU276;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
DEU276;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
DEU276;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
DOM214;Me.Ag;2016;3846.617813965742;based on S&P Global mining data and price-based allocation of ore
